Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,3,18,1,8,69.08444444444444,2,0,33
1,3,4,1,7,0.7452777777777778,1,0,57
1,4,6,0,9,45.76861111111111,2,0,46
1,3,18,5,7,5.8372222222222225,7,0,66
1,2,80,0,6,50.33444444444444,5,0,67
2,3,2,1,9,52.98972222222222,1,0,66
1,3,1,1,7,4.363888888888889,1,0,45
1,3,1,1,7,0.07916666666666666,1,0,32
1,2,6,0,6,0.34,1,0,62
1,2,37,38,7,115.76166666666667,35,0,41
1,2,205,186,6,115.76,55,0,41
1,3,2,2,7,0.05694444444444444,2,0,51
1,3,10,4,7,0.1438888888888889,1,0,36
1,3,10,0,7,0.14166666666666666,1,0,55
1,3,8,0,7,0.14,1,0,49
1,3,423,72,7,0.1386111111111111,27,0,45
1,3,80,18,8,0.5011111111111111,5,0,56
1,3,50,50,7,100.49194444444444,23,0,38
2,3,55,55,9,101.28277777777778,33,0,34
3,7,6,9,20,886.1147222222222,1,1,47
1,4,4,4,8,145.67138888888888,1,0,55
3,7,23,9,17,651.2780555555555,5,0,57
1,5,31,1,10,420.00388888888887,5,0,50
1,4,45,6,8,420.09027777777777,7,0,47
1,2,44,24,6,0.10666666666666667,2,0,35
2,8,62,2,16,1793.838888888889,2,0,61
1,5,1,1,9,572.0197222222222,1,0,32
1,5,1,1,9,571.5011111111111,1,0,32
1,3,2,2,7,461.6747222222222,2,0,32
1,4,1,1,8,448.8375,1,0,32
1,3,1,1,7,444.22222222222223,1,0,32
1,6,0,5,10,642.9211111111111,1,0,49
2,3,84,198,10,12.8025,9,0,50
1,3,1,1,7,415.0338888888889,1,0,32
2,10,8,0,18,1295.6933333333334,1,0,54
1,3,1,1,11,316.31083333333333,1,0,32
1,4,117,1,18,668.0283333333333,4,0,39
1,4,12,0,37,4414.191111111111,2,0,54
1,5,18,1,30,4397.785277777778,2,0,66
1,3,1,1,7,266.0283333333333,1,0,32
4,9,28,3,24,12.8475,3,4,17
1,4,3,1,9,277.7138888888889,1,0,31
1,4,66,24,13,583.7747222222222,4,0,37
1,3,1,1,8,159.7163888888889,1,0,32
1,2,1,1,6,133.7861111111111,1,0,32
4,10,40,0,38,3704.3,4,0,51
2,7,1,0,17,1516.0275,1,0,64
3,12,134,7,40,3656.365,2,0,71
1,2,2,2,10,97.90555555555555,2,0,32
1,3,1,1,8,68.52,1,0,32
1,2,2,2,6,68.19111111111111,2,0,32
6,14,3,3,31,1462.4488888888889,1,0,32
1,3,1,1,7,63.49666666666667,1,0,32
1,3,2,1,7,1.6788888888888889,1,0,23
1,6,1,1,23,50.43138888888889,1,0,32
