Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,2,2,0,7,176.39805555555554,1,0,51
1,2,12,10,7,175.82972222222222,1,0,36
1,4,94,14,8,16.877777777777776,7,0,57
2,5,3,1,28,95.42,1,0,59
1,4,2,0,8,61.27027777777778,1,0,30
2,7,1,1,30,2360.0177777777776,1,0,44
2,2,8,3,10,16.3075,2,0,28
1,3,13,4,11,21.307222222222222,3,0,47
1,4,1,1,10,145.22194444444443,1,0,43
1,4,42,2,8,16.54222222222222,2,0,49
1,6,20,4,9,38.93805555555556,8,0,36
1,4,1,0,19,86.70111111111112,1,0,58
1,5,106,9,8,28.161944444444444,9,0,27
1,3,15,0,8,6.214444444444444,3,0,47
2,3,84,2,22,77.73722222222223,2,0,49
2,4,4,3,23,76.64555555555556,2,0,36
1,4,12,0,30,81.66388888888889,1,0,39
6,4,397,5,35,1877.6152777777777,4,0,59
2,3,24,4,11,176.53555555555556,4,0,47
1,4,0,6,13,115.63138888888889,2,0,37
2,4,67,11,45,232.18805555555556,3,0,35
1,4,1,0,9,16.289444444444445,1,0,44
1,3,3,3,7,3.1547222222222224,3,0,28
1,2,20,6,13,6.1075,1,0,46
1,8,15,3,10,93.99555555555555,1,0,29
3,6,30,15,19,47.371944444444445,2,1,47
1,3,12,1,7,6.0313888888888885,2,0,25
3,3,18,12,11,27.785555555555554,2,0,33
1,3,10,4,21,13.061944444444444,1,0,71
1,3,27,5,9,40.275555555555556,3,0,43
13,12,173,120,67,485.26666666666665,9,16,31
1,3,21,146,6,3.745,6,0,39
2,5,111,0,14,97.45722222222223,4,2,24
1,3,30,28,22,131.405,3,0,29
1,3,58,4,31,131.32666666666665,4,0,49
2,4,10,22,23,93.95972222222223,3,0,35
2,4,1,1,10,3.5391666666666666,1,0,40
1,4,5,3,7,5.439722222222223,1,0,50
2,8,23,0,24,143.09444444444443,3,0,50
2,7,42,0,20,98.3386111111111,3,0,49
2,5,2,0,20,113.38166666666666,1,0,65
1,3,2,0,14,21.23111111111111,2,0,57
3,7,176,5,56,387.1644444444444,6,3,28
1,5,1,0,14,55.38527777777778,1,0,46
2,5,0,47,16,8.923055555555555,4,0,57
1,6,13,1,12,12.663333333333334,1,0,50
1,3,14,7,20,17.091944444444444,4,0,64
1,4,18,0,15,5.783611111111111,1,0,52
1,2,8,1,13,22.717222222222222,1,0,57
1,4,12,1,14,6.842222222222222,1,0,54
1,4,30,2,13,14.790277777777778,5,0,49
1,3,19,0,10,86.18833333333333,4,0,41
2,3,21,1,16,97.20722222222223,1,0,26
2,3,10,2,10,2.1547222222222224,3,0,48
1,4,42,3,15,9.944722222222222,1,0,46
1,3,28,6,8,2.1727777777777777,1,0,67
1,3,0,3,9,6.384166666666666,1,0,46
1,6,4,0,14,65.07555555555555,1,0,39
1,2,2,0,12,68.0825,2,0,51
1,4,4,3,21,150.07194444444445,1,0,46
1,4,71,4,18,21.815277777777776,7,0,40
4,7,15,1,69,91.57527777777777,2,0,34
1,3,15,2,13,11.45861111111111,4,0,56
1,3,26,5,11,9.724444444444444,2,0,65
1,4,3,5,17,8.149444444444445,2,0,31
1,2,1,6,8,3.5122222222222224,3,0,43
1,3,34,2,16,29.426111111111112,5,0,28
1,4,4,0,28,429.7083333333333,2,2,41
1,3,8,4,18,475.0933333333333,1,0,30
4,6,10,10,42,330.03833333333336,2,1,45
2,3,2,1,10,3.2816666666666667,1,0,39
4,8,135,62,40,163.07666666666665,1,0,52
1,3,5,5,14,17.092777777777776,5,0,51
2,2,3,8,18,50.90638888888889,3,0,45
2,3,22,2,18,51.125277777777775,4,0,32
2,3,42,6,18,48.51694444444445,1,0,44
2,6,118,51,11,3.3044444444444445,4,0,51
3,6,16,1,35,33.28944444444444,2,0,54
1,4,6,3,9,24.915,5,0,61
1,4,2,0,13,50.23638888888889,2,0,44
1,4,1,1,13,50.1525,1,0,48
1,4,2,0,15,50.02333333333333,2,0,46
1,4,3,0,16,49.95361111111111,3,0,47
1,4,2,0,13,49.89666666666667,2,0,46
2,4,12,12,19,141.62777777777777,1,0,22
2,5,128,23,22,501.5325,6,0,44
1,4,4,0,20,243.12083333333334,2,0,41
1,3,5,4,12,88.30555555555556,3,0,46
1,3,0,1,8,27.823055555555555,1,0,46
2,5,25,2,16,77.55027777777778,4,0,37
1,4,8,0,9,2.0925,4,0,44
1,4,21,0,8,12.155833333333334,3,0,29
1,2,148,2,13,33.510555555555555,8,0,27
3,7,1,104,53,1300.1594444444445,14,0,34
1,3,7,5,8,10.359722222222222,1,0,49
3,6,51,0,32,1293.5172222222222,5,0,48
1,3,12,2,11,48.46611111111111,2,0,56
1,6,12,1,18,17.904166666666665,2,0,30
8,3,15,5,36,1003.5875,5,0,64
1,4,189,0,12,13.418055555555556,3,1,39
1,4,52,6,9,5.620555555555556,5,0,43
1,3,60,53,7,55.45583333333333,12,0,32
1,3,7,5,11,29.014444444444443,1,0,46
1,4,5,15,14,1204.6269444444445,5,0,55
2,4,22,10,14,1201.641111111111,2,0,50
1,3,0,8,8,4.259444444444444,2,0,31
1,3,10,0,11,331.44694444444445,1,0,55
1,5,15,5,7,2.798888888888889,1,0,33
2,5,8,3,15,135.4011111111111,1,0,28
1,4,0,5,13,10.713611111111112,1,0,53
1,3,12,9,22,139.9075,2,0,56
2,3,3,24,12,307.2636111111111,3,0,58
2,6,17,0,17,130.9975,2,2,35
1,6,2,2,23,299.8588888888889,2,0,45
1,5,106,79,23,975.8075,1,0,58
1,5,2,2,12,146.51555555555555,2,0,60
1,3,28,23,10,975.5458333333333,1,0,50
4,4,14,2,18,141.10833333333332,2,0,27
1,5,16,2,14,286.48277777777776,4,0,31
1,4,21,5,13,286.4472222222222,4,0,26
1,4,20,1,13,286.4452777777778,4,0,24
1,3,2,2,8,15.22,2,0,43
3,6,149,2,28,1123.1519444444446,5,2,51
1,3,4,1,7,3.7044444444444444,2,0,63
2,7,4,1,40,1005.3463888888889,1,0,72
3,3,19,0,35,203.03194444444443,7,0,42
1,4,72,1,30,810.8405555555555,2,2,46
1,2,3,1,34,169.40444444444444,2,0,48
1,3,117,6,8,3.9161111111111113,3,0,54
1,3,9,3,8,5.647222222222222,4,0,60
2,6,51,0,12,477.4638888888889,12,0,41
1,3,4,0,15,796.5166666666667,1,0,59
1,4,6,10,10,208.11333333333334,3,1,44
2,7,5,0,32,614.2219444444445,1,0,49
