Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,9,16,1,31,5925.0922222222225,1,0,40
2,5,17,9,19,5465.257777777778,5,0,57
6,21,5,5,50,3987.511388888889,2,0,32
6,15,299,3,62,3624.8858333333333,6,6,58
35,10,130,127,101,2169.2191666666668,1,2,33
6,8,6,6,37,2329.5880555555555,3,2,32
1,13,1,0,34,1919.043888888889,1,0,36
1,12,1,0,16,1902.3647222222223,1,0,36
1,6,1,0,21,1692.6577777777777,1,0,36
2,4,2,2,11,1317.1888888888889,2,0,32
10,11,6,6,79,1150.1583333333333,1,0,32
2,6,1,0,19,1409.4391666666668,1,0,36
2,6,2,2,20,873.1213888888889,1,0,32
4,3,4,4,16,1085.9544444444443,2,0,32
1,4,1,1,8,730.6669444444444,1,0,32
3,4,2,2,20,651.7491666666666,1,0,32
2,7,2,2,21,637.7905555555556,1,0,32
1,22,77,14,31,575.4030555555555,2,0,48
2,5,2,2,12,561.2572222222223,1,0,32
6,5,14856,338,23,609.8916666666667,1,0,33
1,3,1,0,7,744.3552777777778,1,0,36
2,7,2,2,14,547.1286111111111,1,0,32
1,8,11,11,15,1000.1458333333334,1,0,34
5,6,3,3,24,540.0858333333333,1,0,32
1,17,39,5,27,651.5455555555556,2,0,43
7,25,4,4,123,410.22444444444443,1,0,32
6,9,4,4,26,404.7038888888889,1,0,32
2,6,1,1,17,272.5588888888889,1,0,47
3,24,2,2,31,197.4738888888889,1,0,33
1,6,5,5,12,310.38,1,0,51
5,9,3,3,36,195.9363888888889,1,0,32
1,4,38,3,16,300.34777777777776,2,0,50
5,12,3,3,39,173.12083333333334,1,0,32
5,3,1,1,19,171.35472222222222,1,0,32
1,7,7,4,20,166.13888888888889,1,0,56
1,4,2,0,20,252.34694444444443,1,0,42
4,6,2,2,23,155.63972222222222,1,0,32
4,5,2,2,18,152.3686111111111,1,0,32
1,7,1,0,17,148.2163888888889,1,0,36
2,6,43,6,14,119.72888888888889,2,0,50
1,8,1,1,12,149.47972222222222,1,0,32
4,3,2,2,17,143.35611111111112,1,0,32
4,3,2,2,16,140.02138888888888,1,0,32
1,7,2,2,16,470.33722222222224,2,0,32
1,2,1,1,7,123.35333333333334,1,0,32
3,3,2,2,14,100.9475,1,0,32
1,13,1,1,28,107.89305555555555,1,0,34
1,5,5,1,11,175.93916666666667,2,0,47
1,4,145,0,10,175.89305555555555,1,0,39
1,3,1,1,7,78.6075,1,0,32
2,3,23,23,9,24.5475,14,0,53
2,3,3,12,9,24.545555555555556,1,0,42
2,6,2,2,12,24.5425,2,0,41
2,4,3,0,11,24.54083333333333,1,0,40
1,4,8,0,8,24.526666666666667,1,0,44
1,5,39,3,8,24.718611111111112,7,0,42
2,5,28,10,14,164.5825,2,0,49
1,18,3,1,22,35.221666666666664,2,0,46
1,3,1,1,7,33.12861111111111,1,0,32
3,8,5,4,17,23.807777777777776,2,2,51
2,9,2,0,13,17.500833333333333,1,0,59
1,3,1,1,7,31.70388888888889,1,0,32
1,4,84,0,8,1.5325,31,1,21
1,9,1,1,9,1.271388888888889,1,0,37
1,4,14,13,8,1.2925,5,0,30
5,6,104,1,28,24.664444444444445,4,2,48
2,2,15,0,10,2.4130555555555557,1,0,56
1,5,1,1,9,16.778333333333332,1,0,47
1,7,58,0,12,307.27722222222224,5,7,56
1,3,1,1,7,23.740833333333335,1,0,32
1,4,1,0,8,13.08361111111111,1,0,41
1,2,8,9,5,0.6238888888888889,5,0,36
1,2,18,1,5,0.8244444444444444,2,0,51
2,3,1,1,15,21.32027777777778,1,0,32
1,3,42,13,6,0.7736111111111111,3,0,52
1,3,3,3,7,1.3758333333333332,3,0,27
1,3,14,14,7,1.325,14,0,33
