Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
4,5,79,78,16,171.465,3,0,24
1,8,5,3,25,104.01333333333334,3,0,40
1,5,19,9,10,58.11611111111111,5,0,54
1,4,1,0,15,54.4825,1,0,46
1,3,17,7,17,15.87,2,0,66
1,6,17,1,12,32.24888888888889,2,0,30
1,5,10,0,14,173.105,2,0,59
2,8,30,6,29,25.50111111111111,3,3,52
1,5,4,4,9,3.265277777777778,2,0,50
1,4,6,0,8,25.801944444444445,1,0,62
2,6,167,8,11,25.184444444444445,16,0,28
1,4,2,0,30,79.02638888888889,1,0,42
1,4,176,3,17,146.0475,6,0,28
1,4,55,64,8,19.420833333333334,4,0,36
1,4,0,1,8,19.383055555555554,1,0,21
1,4,3,3,8,16.67861111111111,1,0,45
1,4,6,6,8,1.0130555555555556,1,0,27
1,4,1,1,7,1.0908333333333333,1,0,40
1,5,30,1,11,1.8208333333333333,2,0,49
1,5,2,2,9,26.871666666666666,2,0,49
1,6,4,0,21,133.31972222222223,1,0,21
1,7,21,0,22,36.791666666666664,2,0,29
1,4,7,3,9,5.384444444444444,3,0,41
1,7,10,0,8,2.3619444444444446,1,0,50
1,4,18,0,15,19.305833333333332,1,0,52
1,4,14,7,26,16.964444444444446,4,0,64
1,5,237,10,10,8.3775,12,0,69
2,7,2,0,18,6.27,2,1,17
1,4,98,5,17,13.215833333333334,7,0,49
2,2,27,30,9,56.58416666666667,3,0,28
1,7,140,0,17,9.259444444444444,3,0,56
1,4,1,1,6,1.4316666666666666,1,0,29
1,6,1,1,9,1.4080555555555556,1,0,51
1,7,17,0,10,12.006666666666666,3,0,32
