Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,1,1,1,4,387.6686111111111,1,0,47
1,1,1,1,4,387.4816666666667,1,0,47
1,5,4,4,9,379.9872222222222,3,0,47
1,3,2,2,7,9.386111111111111,1,0,47
3,4,4,5,15,14.7875,1,0,31
1,2,1,0,6,0.28694444444444445,1,0,47
1,3,6,5,8,1.0955555555555556,1,1,50
1,2,1,1,6,0.36833333333333335,1,0,31
1,3,16,2,7,25.487222222222222,3,0,16
5,6,108,54,23,44.16888888888889,35,2,27
1,3,44,44,7,3.578333333333333,2,0,30
2,3,1,0,8,2.9702777777777776,1,0,29
1,7,1,1,10,96.29194444444444,1,0,34
2,3,6,3,11,57.02638888888889,2,1,10
1,2,1,1,6,54.515277777777776,1,0,47
1,4,4,0,8,7.0633333333333335,1,0,63
1,5,1,0,7,19.557222222222222,1,0,36
3,11,3,1,34,103.90555555555555,1,0,27
1,3,5,0,20,24.371666666666666,1,0,47
1,6,1,1,11,7.162222222222222,1,0,46
2,3,7,1,10,23.522777777777776,1,0,67
1,3,2,0,6,8.896666666666667,1,0,21
1,3,50,31,7,2.1822222222222223,2,0,20
1,3,54,32,7,2.0683333333333334,2,0,20
1,3,58,33,7,2.0633333333333335,2,0,20
1,2,1,1,6,1.7180555555555554,1,0,17
1,2,74,37,7,1.926111111111111,2,0,20
1,2,57,36,6,1.9302777777777778,2,0,20
1,2,66,35,7,1.9180555555555556,2,0,20
1,2,62,34,7,1.9175,2,0,20
1,2,54,32,6,1.91,2,0,20
1,2,54,32,6,1.9119444444444444,2,0,20
1,3,66,35,8,1.916111111111111,2,0,20
1,2,50,31,6,1.9119444444444444,2,0,20
1,2,62,34,7,1.9094444444444445,2,0,20
1,2,50,31,7,1.9236111111111112,2,0,20
1,2,58,33,7,1.9208333333333334,2,0,20
1,2,62,34,6,1.9144444444444444,2,0,20
1,2,54,32,7,1.9141666666666666,2,0,20
1,2,54,32,7,1.9188888888888889,2,0,20
1,2,58,33,7,1.9247222222222222,2,0,20
1,2,62,34,6,1.9194444444444445,2,0,20
1,2,54,32,6,1.9141666666666666,2,0,20
1,2,53,35,6,1.8827777777777779,2,0,20
1,2,72,46,6,1.8805555555555555,2,0,20
1,4,54,32,8,0.4638888888888889,2,0,20
1,4,18,18,8,191.33166666666668,3,0,27
6,6,135,2,28,1709.6127777777779,3,2,37
1,7,1,1,16,1675.6083333333333,1,0,48
3,4,63,8,20,8.671666666666667,2,0,46
1,7,5,1,13,893.6191666666666,1,0,45
1,3,1,1,13,501.8075,1,0,32
1,3,22,2,7,1.183888888888889,3,0,54
4,7,7,1,23,7199.860833333333,1,1,49
2,6,6,3,14,245.82,1,0,34
2,4,4,0,9,6.038611111111111,2,0,48
1,4,24,20,8,5.924722222222222,3,0,43
4,4,9,6,17,222.5975,1,0,9
1,4,18,18,8,76.32805555555555,3,0,27
2,4,5,1,10,65.6475,1,0,30
2,3,62,10,16,226.3075,2,0,43
3,4,1,1,18,575.2158333333333,1,0,32
3,7,1,29,19,26.826666666666668,1,0,33
1,3,141,35,11,169.53805555555556,5,0,34
1,3,142,69,8,169.46833333333333,7,0,32
1,3,0,0,12,345.31166666666667,1,0,41
2,8,4,1,30,550.2011111111111,1,3,44
1,2,4,0,6,8.587777777777777,1,0,31
1,7,10,4,23,1535.5002777777777,2,0,40
1,3,1,1,7,42.76083333333333,1,0,32
1,4,1,1,8,22.744444444444444,1,0,32
1,3,124,0,15,4878.311111111111,2,0,53
1,3,11,2,7,10.313055555555556,1,0,40
1,2,2,0,7,8.194444444444445,1,0,18
1,8,2,2,12,318.89944444444444,1,0,44
1,4,8,0,10,10.429722222222223,1,0,34
2,4,3,3,13,201.12222222222223,1,0,31
2,5,18,18,12,119.89972222222222,6,0,27
1,4,5,0,12,81.18555555555555,2,0,48
2,2,1,1,8,12.905,1,0,148
2,3,108,165,9,122.59333333333333,2,0,66
5,6,40,14,38,202.6313888888889,2,2,47
2,8,5,5,19,482.31583333333333,1,0,284
1,3,1,1,7,3.596388888888889,1,0,59
1,3,0,0,11,61.463055555555556,1,0,41
1,4,5,2,8,1.7525,2,0,23
1,6,2,0,9,10.435277777777777,1,0,43
1,3,1,1,8,7.595,1,0,34
1,2,2,2,12,13.7775,1,0,35
2,4,3,3,11,10.03,1,0,41
1,3,0,0,8,9.92388888888889,1,0,41
1,3,0,0,7,7.965833333333333,1,0,41
1,3,0,0,7,7.8775,1,0,41
1,3,0,0,8,6.583055555555555,1,0,41
1,3,0,0,8,5.271944444444444,1,0,41
1,2,0,0,7,4.601388888888889,1,0,41
1,2,0,0,6,4.605,1,0,41
4,4,6,0,14,4.6375,1,1,41
1,3,0,0,8,4.373611111111111,1,0,41
1,3,0,0,8,4.349722222222222,1,0,41
1,3,0,0,7,3.3141666666666665,1,0,41
1,3,0,0,8,2.3194444444444446,1,0,41
1,3,0,0,8,2.3427777777777776,1,0,41
1,3,0,0,7,2.0502777777777776,1,0,41
1,2,0,0,6,1.8252777777777778,1,0,41
1,2,0,0,6,1.8688888888888888,1,0,41
1,2,0,0,6,1.8772222222222221,1,0,41
2,5,7,3,14,14.755555555555556,3,0,38
4,6,102,114,52,1251.7733333333333,2,0,56
