Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
3,4,8,3,11,256.64666666666665,1,1,49
1,2,9,0,6,86.0025,1,0,30
1,3,1,0,8,43.52527777777778,1,0,55
5,8,13,4,23,53.71138888888889,5,1,22
1,6,8,1,15,93.5775,1,0,68
4,3,57,3,13,3446.5205555555553,5,1,51
6,10,206,1,23,466.05333333333334,1,12,59
1,3,50,0,7,66.76444444444445,3,0,32
4,6,84,18,13,34.026944444444446,2,0,26
2,2,93,0,10,679.7347222222222,6,0,32
1,4,33,3,7,14.31861111111111,2,0,69
1,4,42,5,7,12.965833333333334,3,0,41
3,7,96,1,17,106.67138888888888,4,0,62
3,13,35,37,16,42.67888888888889,2,0,30
2,6,46,7,10,1659.1019444444444,3,0,55
3,6,91,0,35,3021.5669444444443,3,0,33
1,4,1,1,6,42.70666666666666,1,0,30
1,6,6,2,10,26.944166666666668,2,0,30
1,3,5,2,7,1.5819444444444444,1,0,31
1,3,27,7,7,1.0483333333333333,1,0,31
1,3,8,0,7,1.323888888888889,1,0,31
1,3,4,0,7,0.7752777777777777,1,0,31
1,3,28,4,7,1.0663888888888888,2,0,31
2,2,19,7,7,121.74166666666666,3,0,17
4,5,16,5,19,2.7444444444444445,1,8,32
4,5,12,23,19,73.32555555555555,1,0,38
1,4,4,4,17,107.65777777777778,4,0,27
2,7,20,7,21,683.7933333333333,1,3,46
1,3,0,128,6,156.9063888888889,5,0,42
1,4,5,4,9,385.2036111111111,1,0,65
1,2,10,7,6,7.7747222222222225,1,0,34
1,3,6,6,7,4.090833333333333,1,0,45
1,5,9,0,10,2158.0308333333332,1,0,48
1,3,152,3,7,362.56805555555553,6,0,32
5,5,35,1,24,261.00111111111113,2,0,66
2,4,21,33,11,25.529444444444444,23,0,39
1,3,13,7,7,1.8716666666666666,1,0,50
1,3,5,5,7,3.6438888888888887,1,0,46
2,4,3,4,18,140.1513888888889,1,0,34
1,2,31,31,12,10.47,1,0,25
3,5,9,2,12,43.42611111111111,1,0,55
2,4,8,1,10,39.42138888888889,1,0,55
1,5,1,1,13,397.43611111111113,1,0,32
2,4,8,1,8,6.2825,1,0,55
1,4,13,0,12,41.779444444444444,3,0,53
2,4,10,1,9,5.9863888888888885,1,0,55
2,4,8,1,9,5.8661111111111115,1,0,55
2,4,8,1,8,5.836388888888889,1,0,55
2,4,8,1,9,5.803333333333334,1,0,55
2,4,8,1,8,5.853055555555556,1,0,55
2,4,8,1,9,5.803055555555556,1,0,55
2,4,8,1,9,5.614444444444445,1,0,55
2,4,8,1,8,5.7411111111111115,1,0,55
2,4,8,1,9,5.753611111111111,1,0,55
1,3,2,0,7,9.356111111111112,1,0,34
2,4,10,1,8,5.505833333333333,1,0,55
1,5,10,0,12,39.94166666666667,1,0,36
1,3,2,2,10,75.405,2,0,23
1,3,34,0,7,57.26444444444444,3,0,44
3,4,45,2,12,23.945555555555554,3,0,40
5,4,39,17,13,50.705555555555556,8,0,27
1,3,1,1,7,5.6386111111111115,1,0,36
1,4,1,1,9,312.7577777777778,1,0,59
1,3,33,11,7,11.153888888888888,3,0,44
2,4,11,0,23,152.69611111111112,1,0,45
1,4,65,0,11,321.84527777777777,3,0,57
1,3,182,61,7,32.69305555555555,7,0,44
1,3,1,1,10,192.0438888888889,1,0,41
3,4,122,5,25,116.40083333333334,8,0,38
2,6,1,1,16,33.17444444444445,1,0,45
1,5,2,1,18,48.5275,1,0,59
1,5,10,3,16,29.860833333333332,3,0,56
1,4,23,1,11,148.6352777777778,3,0,49
1,3,3,5,7,42.54,3,0,48
1,4,0,18,8,44.09111111111111,1,0,42
2,3,192,0,9,2.863888888888889,9,0,41
1,4,1,1,8,46.215,1,0,32
1,5,8,4,9,10.195555555555556,3,0,21
1,3,10,10,7,36.59388888888889,4,0,27
2,5,1,1,19,576.4227777777778,1,0,42
1,3,1,1,7,9.207222222222223,1,0,14
1,4,36,0,11,376.6488888888889,5,0,86
1,3,1,1,7,19.941666666666666,1,0,30
1,3,9,9,8,95.9675,4,0,27
1,3,1,1,7,64.96,1,0,27
1,3,30,2,8,17.328055555555554,1,0,47
1,3,0,3,7,23.99388888888889,1,0,50
1,6,16,13,14,180.44833333333332,5,0,45
1,5,1,1,10,5.4575,1,0,48
1,3,18,0,13,17.16861111111111,3,0,29
1,3,72,59,11,128.9975,5,0,27
1,3,9,0,7,5.771111111111111,1,0,32
1,3,23,0,7,53.886944444444445,3,0,54
1,3,312,65,7,66.1686111111111,5,0,45
1,3,68,26,7,1.2127777777777777,4,0,35
1,6,1,1,10,2.3544444444444443,1,0,44
1,4,13,1,11,11.289444444444445,2,0,43
2,5,46,28,18,20.8425,3,3,24
