Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
3,5,68,137,21,510.5372222222222,10,2,41
3,4,85,121,14,415.34583333333336,10,0,41
2,4,66,123,13,410.2605555555556,10,0,41
1,4,31,31,16,11.035277777777777,1,0,44
1,2,1,1,6,5.328888888888889,1,0,30
3,5,62,62,12,10.258611111111112,6,2,37
1,4,1,1,8,3.0952777777777776,1,0,41
1,4,3,3,9,2.6005555555555557,3,0,55
1,3,1,1,7,3.370277777777778,1,0,37
1,4,15,0,9,28.31833333333333,1,0,37
1,3,37,101,8,22.10611111111111,10,0,54
1,4,40,10,9,23.82,32,0,47
1,2,1,0,24,35.24,1,0,41
1,3,6,6,7,0.6875,4,0,50
2,6,7,13,15,21.63861111111111,1,0,46
1,4,125,673,7,6.836388888888889,25,0,26
1,3,3,2,11,10.162222222222223,4,0,65
1,4,10,3,24,69.0963888888889,3,0,37
2,2,5,14,7,4.623611111111111,1,0,44
1,2,4,13,6,4.673333333333333,1,0,50
6,4,1,4,22,16.680833333333332,1,0,55
1,3,1,1,7,7.121388888888889,1,0,28
1,4,46,4,8,1.1655555555555555,2,0,28
1,3,14,5,7,2.3969444444444443,1,0,35
1,3,1,1,11,4.681666666666667,1,0,47
1,3,80,1,11,3.727777777777778,4,0,46
1,3,32,17,8,2.65,3,0,50
1,3,2,8,7,2.7130555555555556,1,0,33
1,4,1,3,8,1.1122222222222222,1,0,55
1,5,12,7,15,2.4105555555555553,3,0,40
1,4,3,1,7,2.442222222222222,1,0,47
2,6,215,6,22,29.510277777777777,8,0,42
1,6,40,31,14,7.220833333333333,2,0,49
1,4,28,0,10,5.650277777777778,3,0,38
