Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,1,3,3,4,387.99083333333334,3,0,47
1,1,1,1,4,387.66583333333335,1,0,47
1,1,7,7,4,387.6433333333333,5,0,47
1,1,1,1,4,387.53444444444443,1,0,47
1,1,2,2,4,387.50555555555553,2,0,47
1,1,2,2,4,387.4786111111111,2,0,47
1,1,1,1,4,387.455,1,0,47
1,2,1,1,6,387.74944444444446,1,0,47
1,2,6,6,6,387.1961111111111,2,0,47
1,2,1,1,5,387.2080555555556,1,0,47
1,2,2,2,7,386.2713888888889,2,0,47
1,5,3,3,11,172.4738888888889,2,0,47
3,4,43,1,16,148.6811111111111,4,0,30
1,3,2,2,7,9.383611111111112,1,0,47
1,4,125,125,7,9.792777777777777,6,0,47
1,6,197,8,10,3.0388888888888888,6,0,44
1,5,180,0,9,2.5677777777777777,3,1,72
1,3,0,5,6,4.103611111111111,1,0,36
3,4,8,3,11,256.64666666666665,1,1,49
1,2,9,0,6,86.0025,1,0,30
1,3,1,0,8,43.52527777777778,1,0,55
3,9,36,0,22,28.91722222222222,2,4,80
1,4,2,1,8,142.47083333333333,1,4,52
1,4,9,0,10,196.99055555555555,3,0,45
5,8,13,4,23,53.71138888888889,5,1,22
2,2,5,2,8,15.78111111111111,1,0,32
1,3,7,2,6,721.2466666666667,2,0,32
1,2,0,1,6,57.364444444444445,1,0,65
1,4,7,1,9,887.4972222222223,2,0,70
2,3,23,16,16,20.9225,2,0,31
1,2,1,1,6,3.991388888888889,1,0,23
1,2,47,0,7,574.9308333333333,2,0,58
2,5,7,1,18,203.84444444444443,1,0,45
1,3,2,1,8,7.650833333333333,1,0,35
2,4,3,1,9,12.623333333333333,1,0,67
1,6,8,1,15,93.5775,1,0,68
4,3,57,3,13,3446.5205555555553,5,1,51
1,3,1,0,10,16.614722222222223,1,0,53
6,10,206,1,23,466.05333333333334,1,12,59
1,4,13,1,7,8.115833333333333,1,0,34
1,3,14,0,13,0.8963888888888889,1,0,50
5,9,36,0,26,195.5522222222222,1,9,32
1,3,6,0,7,422.55916666666667,1,0,44
