Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,5,1,1,12,14297.3375,1,0,46
1,5,1,1,11,14426.052222222223,1,0,46
1,5,1,0,9,14425.771111111111,1,0,34
7,4,1,1,19,4872.097222222223,1,0,46
4,6,2,2,24,3444.6741666666667,1,2,46
2,3,2,2,18,2949.8597222222224,2,0,32
1,3,1,1,14,2191.123611111111,1,0,46
3,15,313,271,42,1755.3358333333333,1,5,60
3,2,2,2,13,1578.1122222222223,1,0,32
1,2,1,0,9,2112.925,1,0,34
1,3,1,0,11,2112.5175,1,0,34
1,3,1,0,13,2112.3233333333333,1,0,34
1,2,1,0,11,2112.3122222222223,1,0,34
3,3,119,8,18,1263.503888888889,1,0,33
4,30,30,2,128,739.3677777777777,4,11,40
1,4,1,0,8,1197.5675,1,0,34
1,7,1,0,9,1093.6166666666666,1,0,34
2,13,56,75,28,705.7058333333333,1,0,60
1,3,1,1,9,719.5136111111111,1,0,70
2,12,44,56,50,623.4502777777777,3,2,39
1,3,1,0,7,923.4480555555556,1,0,34
1,3,1,1,7,962.2119444444445,1,0,46
1,3,1,0,7,962.21,1,0,34
2,4,1,1,33,392.3047222222222,1,0,32
1,4,1,1,9,648.8236111111111,1,0,32
2,9,21,0,22,682.4938888888889,2,0,68
1,7,3,3,12,353.64722222222224,1,0,48
2,2,2,2,8,854.2561111111111,1,0,46
1,4,1,0,8,852.3277777777778,1,0,34
1,5,202,120,30,436.81888888888886,5,0,49
1,6,121,7,34,436.625,3,0,48
1,3,1,1,8,448.79583333333335,1,0,46
1,3,1,0,8,448.75805555555553,1,0,34
1,4,2,0,9,503.5075,1,0,36
1,5,35,3,48,341.5936111111111,3,0,58
1,5,35,3,48,341.5936111111111,3,0,58
1,5,40,47,22,597.2919444444444,4,1,75
1,6,2,2,27,634.8433333333334,2,0,55
1,2,1,1,6,484.8522222222222,1,0,46
1,2,1,0,7,484.85083333333336,1,0,34
1,4,1,1,8,726.8855555555556,1,0,46
1,4,1,0,8,726.8844444444444,1,0,34
2,5,8,11,16,430.6825,2,0,38
2,10,88,0,39,281.06916666666666,1,0,30
1,3,1,1,9,278.435,1,0,52
5,4,784,175,19,537.3188888888889,7,0,33
1,3,1,1,15,403.60555555555555,1,0,46
1,7,1,1,15,316.6575,1,0,38
3,3,1,1,18,224.3025,1,0,32
1,6,2,2,23,483.3569444444444,1,0,37
1,6,9,37,32,346.8019444444444,2,0,59
4,8,69,69,23,356.7825,1,11,47
1,3,5,5,13,348.8436111111111,3,0,24
1,6,56,0,12,303.9819444444444,1,0,72
1,3,1,1,9,367.0127777777778,1,0,39
2,10,1,1,32,280.39416666666665,1,0,38
2,4,38,9,13,274.53194444444443,3,0,57
2,2,364,34,9,223.0925,1,0,33
1,3,310,692,7,174.34944444444446,11,0,33
2,2,2,2,9,184.53416666666666,1,0,32
1,3,26,14,8,158.6611111111111,2,0,54
