Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,3,43,8,11,73.31611111111111,6,0,17
1,2,3,3,16,139.95333333333335,2,0,48
2,5,1,1,14,309.3833333333333,1,0,59
3,5,109,0,22,53.956944444444446,10,0,45
2,4,14,1,28,69.60805555555555,1,0,59
2,5,1,1,20,70.93,1,0,57
2,5,32,2,30,68.245,3,0,40
2,6,32,2,33,69.525,3,0,41
1,3,7,0,7,31.59111111111111,2,0,42
1,4,15,0,9,31.072777777777777,3,0,36
1,2,37,7,13,31.906666666666666,2,0,37
1,3,1,0,15,10.082222222222223,1,0,32
1,3,165,75,7,7.3425,15,0,39
2,5,2,2,14,263.2316666666667,1,0,51
1,4,0,4773,8,17.17888888888889,80,0,21
1,5,46,30,10,78.53194444444445,3,0,59
1,4,1,1,9,49.83972222222222,1,0,35
1,3,2,2,16,37.72888888888889,1,0,27
1,3,1,1,13,12.752777777777778,1,0,32
1,3,124,70,8,6.070833333333334,10,0,27
1,3,16,6,8,15.733611111111111,2,0,32
2,5,1,1,9,134.00333333333333,1,0,32
1,3,20,0,8,112.37611111111111,1,0,42
2,3,0,1,15,15.73,1,0,27
1,3,17,2,12,7.895,2,0,34
1,3,7,10,7,6.9575,4,0,35
1,3,5,0,7,3.3377777777777777,1,0,79
1,3,10,14,7,4.799444444444444,2,0,32
1,3,289,0,7,23.82138888888889,7,0,44
2,4,2,2,16,96.40972222222223,1,0,62
1,3,38,0,7,7.3469444444444445,1,0,57
1,3,12,0,8,94.01138888888889,2,0,35
1,3,32,19,7,3.1733333333333333,5,0,51
1,3,0,6,7,67.89361111111111,2,0,42
1,3,23,9,7,68.21388888888889,2,0,45
1,3,23,33,11,38.61194444444445,5,0,37
1,3,2,2,7,19.045555555555556,1,0,63
1,3,2,2,7,18.96,1,0,61
1,3,2,2,7,18.87472222222222,1,0,62
1,3,2,2,7,18.831944444444446,1,0,59
1,3,2,2,7,18.783055555555556,1,0,61
1,4,1,0,7,7.215833333333333,1,0,35
