Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
3,16,63,0,24,4980.511944444444,4,0,49
1,4,0,14,17,72.12166666666667,1,0,38
3,4,8,5,18,72.49138888888889,2,0,46
2,6,8,2,10,393.32,3,0,27
1,5,4,0,8,125.81194444444445,1,0,43
4,9,609,12,17,1131.3961111111112,2,0,59
3,3,7,2,11,584.7588888888889,1,0,49
2,3,3,3,12,584.1163888888889,1,3,49
1,7,1,1,12,100.87722222222222,1,0,54
1,8,22,0,13,106.095,6,0,55
1,6,1,1,10,9.257222222222222,1,0,25
1,6,34,16,8,32.766666666666666,3,0,50
2,4,22,2,11,521.5052777777778,2,1,20
1,9,6,0,19,32.077222222222225,1,0,48
1,15,0,30,20,322.3,1,0,38
1,3,2,0,7,218.2275,1,0,39
2,5,44,3,14,213.9777777777778,1,0,51
1,3,54,1,7,300.83222222222224,3,0,45
1,3,41,41,15,50.841388888888886,3,0,27
1,5,8,8,8,91.36666666666666,1,0,48
1,3,4,4,14,909.5877777777778,1,0,36
1,4,3,2,11,118.59444444444445,1,0,70
2,5,14,3,18,300.02166666666665,1,0,50
1,8,10,1,17,107.22277777777778,2,0,70
2,9,19,1,34,3487.4844444444443,1,1,52
4,6,17,5,19,844.9597222222222,2,1,42
1,3,7,1,9,480.0286111111111,2,0,57
1,5,9,0,8,61.28777777777778,1,0,49
1,3,3,3,7,386.94166666666666,1,0,49
1,4,2,2,13,152.4075,1,0,54
1,5,5,15,13,53.42722222222222,5,0,49
1,2,1,1,7,33.48416666666667,1,0,51
1,4,9,8,12,5307.4783333333335,2,0,66
1,7,7,0,10,9.905833333333334,1,0,47
2,9,66,0,18,3411.7219444444445,4,1,52
1,8,16,16,32,673.9502777777777,2,0,55
1,13,15,10,20,260.25305555555553,2,0,25
1,11,56,19,14,231.33305555555555,3,0,45
1,3,16,6,7,2.7358333333333333,5,0,47
1,5,13,5,8,6.5808333333333335,5,0,54
6,11,85,81,61,1059.0744444444445,4,4,54
1,7,3,0,14,166.10833333333332,2,0,28
6,10,128,8,49,1058.9802777777777,3,2,69
8,16,169,21,69,4362.3875,12,5,54
4,13,5,2,45,2401.831388888889,2,0,52
1,4,7,2,10,19.34138888888889,1,0,54
1,3,2,0,15,478.86277777777775,2,0,48
1,5,50,4,12,23.011666666666667,1,0,46
1,11,2,2,18,682.4736111111112,2,0,46
1,6,30,15,24,2016.6866666666667,3,0,43
1,4,10,8,8,170.93694444444444,1,0,49
4,4,6,1,19,430.6375,1,0,37
1,7,97,29,12,80.20833333333333,1,0,51
1,3,19,0,8,107.31583333333333,3,0,44
5,8,56,2,33,281.43111111111114,2,0,19
1,4,24,0,8,162.04222222222222,2,1,20
1,4,20,0,8,113.43166666666667,2,1,20
1,4,18,0,8,228.01222222222222,2,0,20
1,4,6,5,9,221.8686111111111,1,0,49
1,7,1,1,16,66.49666666666667,1,0,46
1,3,7,7,7,2.330277777777778,2,0,39
1,3,16,0,7,24.515,1,0,49
1,4,44,19,8,23.308888888888887,5,0,65
1,4,13,5,8,371.5877777777778,4,0,60
1,2,1,1,6,150.95111111111112,1,0,55
1,3,6,0,7,96.80194444444444,1,0,20
1,4,11,0,11,50.775555555555556,2,0,47
1,7,2,0,12,35.72555555555556,1,0,64
1,8,35,2,29,1529.6469444444444,2,0,72
1,10,119,40,13,776.5983333333334,3,2,53
2,5,34,9,13,335.0422222222222,2,0,51
1,3,3,4,7,42.88055555555555,1,0,51
1,10,22,6,22,784.5855555555555,2,0,44
1,7,13,14,14,651.25,2,0,50
2,4,140,0,13,677.9213888888889,1,0,44
2,8,34,18,26,312.9627777777778,2,0,47
1,4,13,47,8,750.6494444444445,1,0,56
2,10,56,21,25,1133.0188888888888,2,0,45
2,9,9,3,18,1493.7341666666666,2,3,45
4,8,27,5,19,1519.6672222222223,2,1,43
1,7,7,2,10,994.5525,1,0,44
1,3,1,0,7,58.4925,1,0,27
1,2,21,0,6,14.860833333333334,2,0,20
1,4,52,9,16,172.85055555555556,3,0,57
1,5,0,3,14,29.989722222222223,1,0,62
1,7,10,0,8,26.75638888888889,2,0,51
1,2,0,15,6,18.586111111111112,1,0,24
12,6,63,4,42,404.30916666666667,38,0,44
1,9,4,0,10,27.47277777777778,1,0,20
1,3,5,5,8,28.63861111111111,1,0,33
2,7,21,8,14,22.208055555555557,1,1,37
1,19,3,2,32,1067.9030555555555,1,0,69
4,6,51,26,24,55.70944444444444,4,0,41
2,4,84,8,14,122.46,2,0,44
2,4,2,0,14,46.513333333333335,1,0,26
1,3,4,2,8,24.888333333333332,1,0,46
1,4,0,672,53,273.82916666666665,5,0,36
2,6,7,9,19,36.391666666666666,1,1,35
1,7,1,2,8,15.189444444444444,1,0,39
1,4,1,1,7,155.18333333333334,1,0,58
1,7,6,0,9,1332.1244444444444,1,0,50
1,4,239,98,8,138.98444444444445,8,0,43
1,4,154,0,8,139.0938888888889,1,0,48
1,4,1,1,9,40.1725,1,0,48
1,2,1,1,20,33.76611111111111,1,0,56
1,2,1,1,13,32.13194444444444,1,0,58
1,2,1,1,15,29.708055555555557,1,0,57
1,2,1,1,7,18.761944444444445,1,0,49
1,2,1,1,7,18.52888888888889,1,0,61
2,12,5,3,26,77.89583333333333,1,0,63
1,7,0,1,9,6.964444444444444,1,0,70
2,7,115,107,14,19.320833333333333,52,1,63
4,6,1,1,19,2370.1475,1,0,30
1,3,7,0,7,75.47444444444444,1,0,66
4,5,13,17,14,14.724722222222223,2,0,46
1,7,29,4,9,23.711666666666666,2,0,60
2,5,2,2,19,141.19944444444445,2,0,56
1,9,14,0,10,461.685,1,0,63
6,3,18,1,21,157.4561111111111,1,0,18
1,3,2,0,7,29.185555555555556,1,0,45
1,4,1,0,7,28.750833333333333,1,0,41
1,4,9,1,7,28.814722222222223,2,0,52
1,4,1,0,7,28.481666666666666,1,0,47
1,4,2,1,8,31.68027777777778,1,0,69
1,4,2,0,8,27.961388888888887,1,0,29
1,3,1,1,7,7.405555555555556,1,0,36
1,4,1,0,10,26.802222222222223,1,0,44
1,4,4,0,9,26.567222222222224,2,0,37
1,8,84,31,12,801.7188888888888,3,0,45
1,5,4,4,8,124.40305555555555,2,0,31
1,7,38,0,9,16.899166666666666,2,0,32
1,4,73,73,16,67.66888888888889,3,0,27
1,3,1,0,7,15.51388888888889,1,0,33
1,4,5,0,13,52.465,2,0,38
1,2,1,1,6,8.956666666666667,1,0,22
1,4,2,0,8,16.419722222222223,1,0,29
4,3,11,17,24,28.233333333333334,1,1,25
1,3,1,1,8,1537.9666666666667,1,0,49
1,3,86,0,7,110.99722222222222,2,0,27
9,12,64,4,38,1284.2183333333332,5,1,56
1,3,0,8,7,93.53305555555555,1,0,23
1,4,27,1,33,1697.7772222222222,2,0,39
2,3,9,8,10,103.06472222222222,1,0,59
5,7,125,6,18,461.10583333333335,8,1,49
1,8,1,0,20,76.4625,1,0,27
1,5,6,0,9,117.68777777777778,1,0,69
3,4,3,3,16,32.94611111111111,2,0,41
1,3,2,1,7,14.713333333333333,1,0,33
3,6,27,0,14,170.60194444444446,1,0,28
1,8,4,4,14,1760.4419444444445,2,0,49
1,3,0,7,7,23.11138888888889,1,0,23
1,4,7,0,7,67.46083333333333,2,0,27
2,6,43,0,14,674.0372222222222,3,0,34
4,7,4,1,16,188.42166666666665,2,0,49
2,9,31,2,17,61.978611111111114,5,0,50
1,7,66,6,9,16.839444444444446,2,0,49
2,3,9,9,12,32.446666666666665,1,0,24
1,3,3,3,9,1395.7952777777778,2,0,32
2,3,0,33,9,51.265,2,0,24
1,7,11,0,14,33.952222222222225,2,0,54
3,4,16,5,13,57.67944444444444,1,1,63
1,7,6,6,14,29.218611111111112,2,0,55
2,8,1,1,10,29.065833333333334,1,1,47
1,11,215,0,17,29.22138888888889,3,0,42
1,5,2,0,9,4.465833333333333,1,0,34
7,4,18,6,20,33.10055555555556,1,4,30
1,5,149,13,11,872.23,2,2,67
3,4,23,9,12,31.585,1,1,36
2,15,62,27,27,154.27527777777777,2,0,54
1,5,1,1,11,23.52638888888889,1,0,26
1,5,18,0,12,151.4163888888889,2,1,43
1,3,0,3,7,181.4411111111111,1,0,52
1,6,17,0,7,162.09083333333334,1,0,43
1,6,35,15,11,135.13333333333333,4,0,42
1,6,3,3,9,23.506944444444443,1,0,32
1,6,1,1,7,16.91888888888889,1,0,54
1,3,4,4,8,96.32833333333333,1,0,36
1,3,4,4,8,96.08722222222222,1,0,36
1,3,4,4,8,95.95083333333334,1,0,36
1,2,4,4,8,95.60166666666667,1,0,36
1,2,4,4,8,95.45361111111112,1,0,36
1,2,4,4,8,95.19472222222223,1,0,36
1,2,4,4,8,94.99527777777777,1,0,36
1,2,4,4,8,94.85111111111111,1,0,36
1,3,0,2,7,3.5102777777777776,1,0,24
1,2,4,4,8,94.83277777777778,1,0,36
1,2,4,4,8,94.67666666666666,1,0,36
1,2,4,4,8,94.56694444444445,1,0,36
1,2,4,4,8,94.55333333333333,1,0,36
1,2,4,4,8,94.0963888888889,1,0,36
1,22,29,0,62,464.50805555555553,2,0,27
1,3,0,10,8,5.568888888888889,1,0,22
1,4,16,0,7,21.11888888888889,2,0,46
1,3,7,1,7,75.05166666666666,1,0,47
2,2,22,8,9,12.932222222222222,1,0,33
1,8,1,1,9,9.769166666666667,1,0,63
1,5,2,0,7,318.3041666666667,2,0,37
1,4,66,3,8,7.301388888888889,2,0,26
1,10,1,370,9,169.2888888888889,76,0,73
2,8,18,0,21,8181.49,3,0,28
2,10,9,6,9,18.39638888888889,2,0,46
1,6,7,15,8,107.40777777777778,2,0,27
2,6,1,1,16,18.1575,1,0,41
2,5,68,6,11,688.7669444444444,3,0,53
1,4,1,1,12,103.71944444444445,1,0,63
1,7,73,65,10,89.5436111111111,1,0,28
1,5,6,0,9,129.61888888888888,1,0,52
1,5,1,1,10,122.92361111111111,1,0,41
1,3,1,1,10,109.04638888888888,1,0,54
3,7,18,0,20,487.2261111111111,1,1,72
1,3,1,1,7,95.96694444444445,1,0,21
2,6,3,2,41,466.7986111111111,2,1,52
1,9,22,35,7,52.511944444444445,3,0,58
1,2,4,4,7,20.691111111111113,1,0,36
1,2,4,4,6,18.7725,1,0,36
1,2,4,4,6,18.6725,1,0,36
1,2,4,4,6,18.601944444444445,1,0,36
1,2,4,4,6,18.59777777777778,1,0,36
1,2,4,4,6,18.514722222222222,1,0,36
1,2,4,4,6,18.468055555555555,1,0,36
1,2,4,4,6,18.264166666666668,1,0,36
1,2,4,4,6,18.334722222222222,1,0,36
1,2,4,4,6,18.37,1,0,36
1,2,4,4,6,18.363055555555555,1,0,36
1,2,4,4,6,18.30027777777778,1,0,36
1,2,4,4,6,18.041944444444443,1,0,36
1,2,4,4,6,18.19333333333333,1,0,36
1,2,4,4,6,18.201944444444443,1,0,36
1,2,4,4,6,18.184166666666666,1,0,36
1,2,4,4,6,18.004166666666666,1,0,36
1,2,4,4,6,18.141111111111112,1,0,36
