Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,6,32,1,11,9984.637777777778,4,0,49
1,6,1,1,11,5970.158611111111,1,0,32
1,6,1,1,22,6356.931388888889,1,0,47
1,5,1,1,20,5668.4275,1,0,47
1,5,1,1,17,5661.759722222222,1,0,35
1,3,1,1,11,5324.127777777778,1,0,47
1,5,2,2,14,5259.5875,1,0,47
1,5,1,1,11,5252.501944444444,1,0,47
1,5,1,0,13,5252.5025,1,0,35
1,4,1,1,9,5254.1288888888885,1,0,47
1,3,1,1,8,5253.753055555556,1,0,47
1,4,3,3,10,5252.7266666666665,1,0,47
3,7,4,0,23,4515.272222222222,1,0,32
1,3,1,1,7,4577.658055555556,1,0,35
2,3,1,1,9,4666.4925,1,0,47
2,3,1,1,12,4818.170555555555,1,0,47
1,3,1,1,9,4009.6008333333334,1,0,47
1,3,20,0,8,3696.531111111111,1,0,28
1,4,1,0,13,3770.851388888889,1,0,35
1,3,1,1,7,3197.1905555555554,1,0,47
1,3,1,0,7,3197.19,1,0,35
1,3,1,1,13,2707.5055555555555,1,0,47
1,3,2,2,9,2678.553611111111,1,0,32
2,5,1,1,16,2440.6294444444443,1,0,32
3,7,2,2,40,2269.7027777777776,2,0,32
1,4,2,2,8,2203.54,2,0,32
1,2,1,1,8,2565.681666666667,1,0,47
1,2,1,1,8,2565.6658333333335,1,0,47
1,4,21,11,7,1849.3069444444445,3,0,34
1,5,2,1,17,1532.1544444444444,2,0,60
1,3,4,4,8,1749.41,2,0,32
1,2,1,1,7,1927.5855555555556,1,0,47
1,3,1,0,7,1927.546111111111,1,0,35
1,5,1,1,21,1357.8147222222221,1,0,47
1,4,1,0,10,1357.6291666666666,1,0,35
1,5,1,1,16,2014.0222222222221,1,0,47
1,5,1,0,18,2014.015,1,0,35
1,4,1,1,8,1802.5111111111112,1,0,47
1,3,1,0,7,1802.3875,1,0,35
2,5,3,3,13,1529.7466666666667,1,0,32
2,5,4,4,18,1409.175,2,0,32
1,8,90,5,12,1341.6869444444444,3,0,47
1,3,1,1,9,1844.4363888888888,1,0,47
1,2,1,1,6,1374.3152777777777,1,0,32
1,4,6,6,19,1219.361111111111,3,0,32
1,3,1,1,9,1203.6508333333334,1,0,47
1,3,1,0,11,1203.6516666666666,1,0,35
4,13,242,159,47,1116.1308333333334,13,2,48
2,11,2,2,32,1067.7794444444444,2,0,47
2,16,7,1,35,1077.0280555555555,2,0,49
1,12,16,2,41,699.7288888888888,2,0,38
1,3,2,2,8,1110.4766666666667,1,0,47
1,5,5,0,13,1356.2830555555556,1,0,33
1,2,1,1,12,1390.431388888889,1,0,47
1,3,1,1,13,1170.8902777777778,1,0,47
1,2,1,0,12,1170.5227777777777,1,0,35
1,4,1,1,8,879.9727777777778,1,0,32
1,6,2,3,12,665.8627777777778,2,0,68
1,3,2,2,17,1298.7975,1,0,47
2,4,0,2,9,548.9086111111111,1,0,20
2,13,52,43,10,511.02416666666664,1,0,33
2,15,26,7,20,616.2591666666667,1,0,36
1,14,133,34,17,698.9761111111111,2,0,48
1,5,17,0,9,438.10305555555556,3,0,32
1,3,1,0,38,1224.4002777777778,1,0,35
1,4,1,1,12,865.3475,1,0,47
1,5,6,5,19,478.2447222222222,1,0,54
1,3,1,1,11,1179.8222222222223,1,0,47
2,9,14,0,20,461.8927777777778,1,7,66
1,4,153,110,8,391.5391666666667,3,0,45
1,3,12,0,8,530.5463888888889,1,0,44
1,3,3,3,7,415.7919444444444,1,0,71
1,4,1,0,14,810.41,1,0,35
1,4,8,8,17,721.7480555555555,2,0,32
1,7,79,19,20,802.9069444444444,2,0,54
7,15,130,1980,19,753.1366666666667,5,0,33
1,3,21,0,7,364.6566666666667,1,0,37
3,7,3,3,18,533.5697222222223,1,0,42
3,5,1,1,18,785.6058333333333,1,0,47
1,4,1,0,12,704.0355555555556,1,0,35
2,7,6,4,23,685.8258333333333,3,0,70
1,4,2,2,10,607.8566666666667,1,1,36
1,2,3,2,6,386.055,1,0,46
1,3,1,1,7,590.6908333333333,1,0,32
1,2,1,1,8,846.3047222222223,1,0,47
2,7,1,0,20,341.9536111111111,1,1,47
2,6,5,3,14,363.0361111111111,2,1,50
1,2,1,1,8,692.5308333333334,1,0,47
1,2,1,0,6,691.4583333333334,1,0,35
3,11,77,21,40,541.9863888888889,3,0,46
1,2,67,41,14,205.2825,5,0,16
1,2,1,1,12,636.6069444444445,1,0,47
1,3,1,0,12,636.5463888888889,1,0,35
1,2,11,11,6,654.3355555555555,7,0,51
3,4,90,869,16,566.2338888888889,8,0,33
2,5,1,1,11,864.9458333333333,1,1,47
1,10,92,30,19,341.49194444444447,3,0,44
1,6,1,1,10,343.80361111111114,1,0,49
2,7,3,4,13,335.49,2,0,27
1,9,48,0,13,338.06916666666666,2,0,50
1,10,61,29,13,356.71666666666664,2,0,45
2,9,41,4,19,313.14916666666664,2,0,50
1,5,81,1,10,215.02805555555557,1,0,47
1,6,5,0,10,192.21194444444444,1,0,66
2,12,150,94,32,577.0552777777777,9,0,52
2,13,90,2,25,161.68777777777777,2,0,35
1,3,6,6,7,516.1658333333334,3,0,32
1,3,4,4,7,516.1102777777778,2,0,32
