Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,5,1,1,9,2516.7566666666667,1,0,61
3,3,1,1,20,573.7338888888889,1,1,15
1,4,1,1,11,321.4483333333333,1,0,43
1,2,1,1,14,341.14,1,0,36
2,5,18,2,12,292.3097222222222,4,0,26
1,4,22,1,15,48.507777777777775,22,0,53
1,4,13,4,8,50.4625,3,0,33
2,4,0,136,12,59.33694444444444,4,0,33
2,11,18,12,11,19.052222222222223,2,0,27
2,4,1,1,15,51.06027777777778,1,0,16
1,2,3,3,6,1.0980555555555556,3,0,38
2,4,1,1,11,72.53777777777778,1,0,20
1,3,30,8,9,5.254444444444444,2,0,34
2,4,12,2,15,204.83416666666668,1,0,36
1,2,1,1,6,102.55305555555556,1,0,36
1,2,1,1,6,102.53555555555556,1,0,36
1,2,1,1,6,102.52416666666667,1,0,36
3,2,2,2,10,101.45833333333333,2,0,48
1,2,1,1,6,82.61861111111111,1,0,36
1,2,1,1,6,82.55972222222222,1,0,36
1,2,1,1,6,82.51361111111112,1,0,36
1,2,1,1,6,82.28722222222223,1,0,36
1,2,1,1,6,82.23638888888888,1,0,36
1,2,1,1,6,82.1625,1,0,36
1,2,1,1,6,82.17027777777778,1,0,36
1,2,1,1,6,82.17916666666666,1,0,36
1,2,1,1,6,82.16083333333333,1,0,36
1,2,1,1,6,82.13444444444444,1,0,36
1,2,1,1,6,82.13722222222222,1,0,36
1,2,1,1,6,82.13222222222223,1,0,36
1,2,1,1,6,82.0411111111111,1,0,36
1,2,1,1,6,82.06194444444445,1,0,36
1,2,1,1,6,82.06583333333333,1,0,36
1,2,1,1,6,82.02638888888889,1,0,36
1,5,5,90,9,122.415,4,0,20
1,3,32,1,7,1.1427777777777777,5,0,39
1,5,42,0,12,26.455,3,0,37
1,4,7,24,11,26.158333333333335,5,0,36
1,4,2,1,9,26.189166666666665,2,0,38
3,4,95,88,17,102.13666666666667,1,0,33
4,5,11,1,16,24.700277777777778,1,0,36
1,4,11,1,14,23.114444444444445,1,0,36
1,4,13,13,12,6.009722222222222,1,0,42
1,4,10,26,13,23.42527777777778,3,0,59
4,4,138,134,15,100.98,6,0,43
3,5,639,55,27,184.92333333333335,47,0,23
1,2,11,1,6,6.679722222222222,1,0,36
1,2,11,1,6,6.654444444444445,1,0,36
1,2,11,1,6,6.457222222222223,1,0,36
1,2,11,1,6,6.3694444444444445,1,0,36
1,2,11,1,6,6.322222222222222,1,0,36
1,2,11,1,6,6.2875,1,0,36
1,2,11,1,6,6.284722222222222,1,0,36
1,2,11,1,6,6.217777777777778,1,0,36
1,2,11,1,6,6.161111111111111,1,0,36
1,2,11,1,6,6.1963888888888885,1,0,36
1,2,11,1,6,6.199722222222222,1,0,36
1,2,11,1,6,6.145277777777777,1,0,36
1,2,11,1,6,6.1530555555555555,1,0,36
1,2,11,1,6,6.033611111111111,1,0,36
1,2,11,1,6,6.052777777777778,1,0,36
1,2,11,1,6,6.026111111111111,1,0,36
1,2,11,1,6,5.995555555555556,1,0,36
1,2,11,1,6,5.999722222222222,1,0,36
2,3,36,3,10,94.70111111111112,2,0,36
2,3,43,5,10,4.198055555555555,9,0,31
2,3,0,252,8,2.4155555555555557,2,0,40
2,4,0,7,13,53.02388888888889,1,0,33
1,4,295,280,9,112.53472222222223,10,0,46
1,4,5,0,8,91.45444444444445,1,0,41
1,3,4,4,6,0.5677777777777778,1,0,36
1,2,53,0,6,67.24666666666667,3,0,44
