Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
2,3,1,1,16,7291.440833333333,1,0,46
2,4,1,1,10,6774.66,1,0,46
2,3,1,1,11,6774.3533333333335,1,0,46
4,6,16,1,25,3302.89,2,0,40
1,9,38,5,15,2852.49,3,0,56
1,5,1,1,9,2516.7566666666667,1,0,61
1,7,15,17,14,1715.8041666666666,1,0,28
1,21,11,1,52,1602.1441666666667,3,0,45
1,15,1,1,20,1844.9194444444445,1,0,46
1,15,1,0,26,1844.92,1,0,34
1,3,1,0,8,2050.6702777777778,1,0,34
1,4,143,162,10,1461.3252777777777,2,0,40
2,4,3,3,23,1498.8408333333334,1,0,46
9,5,0,21,43,1279.4319444444445,1,0,33
2,3,1,1,10,1783.8208333333334,1,0,46
5,4,1,0,18,1783.8213888888888,1,0,34
1,4,1,1,11,1041.2583333333334,1,0,46
1,4,1,0,11,1041.2588888888888,1,0,34
3,6,1,1,32,975.9536111111111,1,0,54
2,11,2,10,20,914.4908333333333,1,0,51
2,10,1,0,21,1360.5675,1,0,34
1,3,1,1,11,961.2875,1,0,46
1,4,1,0,13,961.2877777777778,1,0,34
2,5,1,0,19,908.4719444444445,1,0,34
1,3,1,1,10,1549.5344444444445,1,0,46
1,3,1,1,8,1201.3366666666666,1,0,46
1,4,7,0,8,1031.9586111111112,1,0,44
1,4,7,0,8,1031.5777777777778,1,0,44
2,4,1,1,13,1633.183611111111,1,0,46
1,3,1,1,8,1600.6797222222222,1,0,46
1,9,1,1,14,619.2616666666667,1,0,55
2,16,15,1,59,899.9311111111111,2,0,53
1,11,116,22,11,915.1136111111111,3,0,56
1,2,5,0,6,727.77,1,0,44
1,2,9,0,6,727.7141666666666,1,0,44
1,2,8,0,6,727.4763888888889,1,0,44
1,3,20,8,10,668.865,1,1,29
2,3,168,136,19,861.7333333333333,7,0,56
1,13,1,15,28,822.6827777777778,1,0,39
1,3,3,0,7,684.1277777777777,1,0,44
1,3,3,0,7,683.9975,1,0,44
1,3,3,0,7,683.9952777777778,1,0,44
1,3,3,0,7,683.8536111111111,1,0,44
1,3,4,0,8,683.2511111111111,1,0,44
