Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,3,8,0,8,188.17361111111111,2,0,40
1,18,37,5,29,4721.378333333333,2,0,45
4,9,24,1,57,3327.8547222222223,2,0,64
1,6,53,36,14,204.62444444444444,17,0,48
3,6,24,7,13,48.60027777777778,4,1,48
3,7,107,57,16,340.90777777777777,1,0,55
1,4,1,1,8,342.49333333333334,1,0,45
1,8,34,10,12,336.1425,3,0,38
1,9,20,12,14,146.55027777777778,1,0,38
1,4,2,2,16,58.396388888888886,1,0,55
1,10,1,7,22,701.6494444444445,1,0,33
5,2,24,11,11,11.732777777777779,3,0,54
1,6,4,0,11,125.9413888888889,1,0,43
1,7,4,1,18,158.89111111111112,1,0,44
4,5,8,3,13,11.269166666666667,1,0,31
3,7,345,82,14,106.76666666666667,10,0,46
1,8,1,0,19,538.6294444444444,1,0,61
1,9,15,3,10,33.14833333333333,1,0,67
1,6,1,1,30,30.534444444444443,1,0,40
2,4,20,20,9,28.29,8,0,23
1,7,2,2,23,311.2,2,0,44
1,7,1,0,12,529.9097222222222,1,0,46
2,7,351,44,25,241.43722222222223,9,1,55
1,3,30,9,8,5.3775,2,0,58
1,9,22,0,16,126.14027777777778,6,0,55
1,5,1,1,10,2.6125,1,0,51
1,6,2,2,11,250.77805555555557,2,0,33
3,6,9,208,18,652.8402777777778,6,0,51
1,5,44,5,18,117.7325,3,2,63
1,7,1,1,17,685.8458333333333,1,0,57
1,3,7,7,7,5.343055555555556,1,0,42
1,3,11,11,7,6.143055555555556,1,0,42
1,3,25,17,7,4.473888888888889,1,0,42
1,3,16,16,7,4.686111111111111,2,0,42
1,3,18,17,7,5.049444444444444,2,0,42
3,3,5,5,10,4.4302777777777775,1,0,42
1,3,17,17,7,4.3436111111111115,2,0,42
1,3,6,6,7,4.200555555555556,1,0,42
1,3,15,15,7,5.0552777777777775,3,0,42
1,3,17,17,7,5.014444444444444,2,0,42
2,3,28,28,9,3.895277777777778,2,0,42
1,3,16,16,7,3.7358333333333333,2,0,42
1,3,6,13,7,4.981388888888889,2,0,42
1,3,3,2,8,20.370277777777776,1,0,47
1,7,1,1,22,48.856944444444444,1,0,25
1,5,12,0,13,64.35305555555556,1,0,32
1,12,9,9,18,76.17555555555556,2,0,72
1,11,7,4,23,76.13472222222222,2,0,60
1,8,3,2,15,40.82,1,0,58
3,5,23,17,32,85.01777777777778,6,0,61
1,6,2,0,18,34.98027777777778,1,0,31
1,4,3,0,7,4.118055555555555,1,0,29
1,3,1,7,7,1.3383333333333334,1,0,53
1,3,13,10,7,26.219444444444445,3,0,41
4,4,12,9,25,680.0747222222222,1,1,34
1,6,38,20,8,30.44361111111111,3,0,50
4,7,6,6,26,1658.0644444444445,6,5,52
1,5,64,64,19,77.61805555555556,4,0,26
1,6,1,1,10,27.385277777777777,1,0,34
5,5,412,1,33,107.76833333333333,1,0,60
1,6,0,73,11,96.99833333333333,34,0,29
1,7,0,1259,10,361.3027777777778,46,0,35
1,6,1,1,9,133.62916666666666,1,0,49
1,3,565,3,11,440.1222222222222,4,0,34
1,7,3,0,14,158.38777777777779,1,0,21
1,10,29,2,16,300.0566666666667,3,2,54
1,4,0,36,8,77.11166666666666,1,0,23
1,3,1,1,12,602.3102777777777,1,0,36
1,3,1,1,13,602.3358333333333,1,0,36
2,5,8,8,19,1558.2694444444444,4,0,36
1,2,1,1,11,601.6052777777778,1,0,36
1,4,7,1,9,10.493611111111111,1,0,53
1,5,3,2,10,118.30111111111111,1,0,70
1,5,28,0,9,118.43277777777777,3,0,61
1,5,55,25,9,681.0183333333333,4,0,37
1,2,1,0,6,409.66027777777776,1,0,34
1,5,29,0,9,628.8008333333333,2,0,52
1,3,3,8,7,3.7352777777777777,1,0,45
1,6,9,0,10,61.291666666666664,1,0,49
1,5,0,186,9,227.2536111111111,2,0,32
1,6,8,8,11,63.17777777777778,1,0,48
2,6,2,2,14,53.73222222222222,1,2,39
1,10,2,2,19,100.77944444444445,2,0,45
1,4,1,1,7,6.420833333333333,1,0,47
1,6,18,14,13,750.6097222222222,5,0,47
1,3,7,4,7,746.0688888888889,2,0,29
1,3,2,5,7,745.6883333333334,1,0,29
1,3,2,6,7,745.905,1,0,29
1,4,5,4,8,747.2669444444444,2,0,29
1,4,2,8,9,747.3244444444445,1,0,50
1,4,17,8,8,747.4463888888889,5,0,49
1,9,38,1,14,93.03222222222222,3,0,42
1,10,72,3,16,92.97527777777778,3,0,49
1,4,21,22,12,10.879166666666666,1,0,40
1,3,1,1,9,8.297222222222222,1,0,51
1,3,1,1,7,8.49638888888889,1,0,62
1,5,8,0,7,7.991388888888889,1,0,48
3,6,3,2,19,153.44333333333333,1,0,24
2,3,11,6,13,20.903055555555557,1,0,43
1,8,4,0,11,42.735277777777775,1,4,38
2,6,48,10,11,52.48083333333334,2,0,72
2,5,81,1,10,17.535555555555554,3,0,39
2,8,11,2,26,62.099444444444444,3,0,70
2,4,15,7,13,699.5113888888889,3,0,29
1,4,29,0,12,41.102777777777774,3,0,48
1,5,1,28,9,698.5658333333333,3,0,29
1,5,1,1,9,532.0077777777777,1,0,35
1,4,0,5,8,296.61055555555555,1,0,47
1,6,15,14,10,391.4922222222222,10,0,31
1,8,10,1,9,39.86361111111111,2,0,70
1,4,2,1,12,683.0938888888888,1,0,41
1,5,42,11,16,53.513333333333335,3,0,65
2,6,8,0,17,53.14111111111111,3,0,59
1,5,13,5,7,11.131666666666666,5,0,54
1,3,4,6,7,523.25,2,0,29
2,8,28,17,22,379.47277777777776,3,0,51
1,6,3,0,12,273.5863888888889,2,0,28
1,6,89,2,14,291.05555555555554,4,0,55
2,10,20,14,36,359.3522222222222,2,0,57
2,7,90,0,28,430.7413888888889,3,4,55
3,7,11,1,19,24.13722222222222,1,0,51
1,5,43,5,9,17.219166666666666,3,0,68
1,3,3,0,7,7.275,3,0,31
1,4,7,2,8,11.474722222222223,1,0,54
1,4,1,0,9,12.410833333333333,1,0,41
1,6,112,9,14,15.766666666666667,5,0,51
1,4,79,70,12,222.59833333333333,5,0,26
1,8,29,4,7,10.02361111111111,2,0,59
2,8,110,29,9,12.57611111111111,4,0,59
1,3,20,0,8,25.066111111111113,2,0,33
1,3,12,14,8,25.192222222222224,1,0,28
1,4,6,2,9,29.710277777777776,2,0,49
1,6,7,0,9,9.95111111111111,1,0,47
1,7,38,114,9,12.107222222222223,5,0,49
1,9,5,1,9,11.0125,1,0,61
1,3,20,2,7,21.579722222222223,2,0,48
2,3,4,2,12,10.348611111111111,2,2,31
1,5,4,1,9,6.583055555555555,1,0,63
1,4,35,3,8,7.6497222222222225,3,0,25
1,6,13,12,10,4.200833333333334,1,0,32
1,4,9,8,8,22.275,1,0,27
1,6,6,2,8,170.36805555555554,1,0,49
1,6,10,4,8,170.63555555555556,1,0,54
1,4,1,0,8,16.863888888888887,1,0,50
1,6,2,2,10,17.595,2,0,39
1,4,75,10,9,12.289444444444445,3,0,28
1,2,0,5,6,77.01444444444445,1,0,38
1,6,97,29,13,80.04138888888889,1,0,51
1,4,19,0,10,107.355,3,0,44
1,8,3,3,16,123.8775,2,0,61
1,3,1,1,8,3.4227777777777777,1,0,56
1,5,42,3,10,76.44972222222222,1,1,51
1,12,8,4,9,5.47,4,0,35
1,7,3,1,12,264.5697222222222,2,0,38
1,4,6,0,10,263.0727777777778,1,0,38
1,4,11,7,10,263.0725,1,0,30
2,4,14,0,22,331.8236111111111,2,0,37
1,9,23,26,11,500.5825,3,0,38
1,7,2,2,8,99.03444444444445,1,0,52
2,3,16,1,8,110.2175,3,0,40
1,5,13,13,9,97.76305555555555,6,0,31
3,4,41,8,12,282.96305555555557,3,0,27
1,5,1,0,8,70.20916666666666,1,0,43
1,2,1,0,6,262.56388888888887,1,0,43
2,6,1,1,18,73.94194444444445,1,2,28
2,4,1,1,19,72.16,1,0,28
1,4,19,0,8,252.7513888888889,2,0,20
1,5,20,0,9,160.63416666666666,2,0,20
1,5,24,0,9,163.79833333333335,2,0,20
1,5,18,0,9,228.6025,2,0,20
2,5,0,62,9,11.991666666666667,3,0,52
3,4,11,7,10,217.56,2,0,49
2,4,62,0,10,67.01666666666667,3,0,43
1,2,1,1,7,31.848333333333333,1,0,58
1,2,1,1,7,31.922777777777778,1,0,49
3,4,23,17,17,170.05972222222223,5,0,38
1,5,14,3,10,60.39,1,0,50
2,6,315,0,14,12.428611111111111,3,0,56
14,7,294,17,66,240.38055555555556,1,8,39
1,3,17,1,7,93.63777777777777,3,0,56
1,5,4,6,8,142.35555555555555,1,0,41
1,3,2,0,7,25.99,2,0,55
2,6,6,1,19,140.54694444444445,1,0,41
2,5,4,0,15,53.076388888888886,1,0,52
1,9,14,4,9,26.809722222222224,2,0,26
2,2,24,3,13,32.029444444444444,2,0,107
2,8,139,25,12,48.738055555555555,7,0,59
1,3,16,6,7,3.9894444444444446,5,0,47
1,5,12,10,16,28.08111111111111,2,0,45
1,3,1,0,7,2.983888888888889,1,0,55
6,6,46,1,33,375.83222222222224,1,2,51
1,4,8,0,9,20.72361111111111,1,0,24
6,7,403,17,29,369.0411111111111,201,0,31
1,11,7,2,11,54.70111111111111,1,0,43
1,3,2,0,8,14.278333333333334,1,0,44
4,5,54,1,20,128.20222222222222,5,1,20
1,4,13,5,8,371.59305555555557,4,0,60
1,3,1,1,7,150.95638888888888,1,0,55
1,4,6,0,8,96.4825,1,0,20
1,5,11,0,10,24.65277777777778,2,0,47
2,5,2,1,12,23.271944444444443,1,0,48
1,5,1,1,18,25.04611111111111,1,0,50
1,7,2,2,11,40.24055555555555,1,0,41
1,3,61,42,7,137.205,5,0,39
1,5,1,1,9,4.822777777777778,1,0,46
1,3,7,1,8,11.874444444444444,1,0,23
3,5,1,0,17,501.29277777777776,1,0,30
1,3,1,1,10,7.428333333333334,1,0,33
2,7,103,19,14,352.6788888888889,6,0,38
1,5,0,35,9,154.31527777777777,2,0,33
1,7,21,21,7,7.493611111111111,3,0,47
1,5,2,0,8,13.483333333333333,1,0,64
1,4,16,0,9,9.588333333333333,1,0,49
1,5,6,6,13,451.0083333333333,1,0,52
2,6,358,19,18,188.1213888888889,8,0,59
1,4,9,3,8,18.8325,1,0,38
1,4,13,0,8,18.842222222222222,3,0,29
1,4,2,2,10,166.45,1,0,54
1,4,0,10,10,757.4677777777778,1,0,56
1,5,109,3,8,20.61777777777778,50,0,50
2,4,13,18,26,1020.5558333333333,1,0,21
1,3,10,8,8,9.248888888888889,1,0,49
1,2,2,2,6,100.44111111111111,1,0,26
3,5,5,0,17,391.49916666666667,1,3,37
1,6,4,4,10,5.853055555555556,2,0,29
1,6,16,2,7,100.5286111111111,3,0,70
1,4,5,0,8,5.862222222222222,1,0,71
1,7,32,9,15,242.5475,3,0,69
1,5,2,0,9,471.72444444444443,1,0,45
1,5,39,18,10,127.54055555555556,6,0,41
2,6,22,18,12,146.08944444444444,1,0,42
1,8,18,3,13,95.22666666666667,2,0,43
