Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,3,0,1,6,18.92972222222222,1,0,30
1,3,29,3,9,91.43305555555555,2,0,69
4,3,4,1,16,69.48944444444444,1,2,51
1,3,17,2,6,20.286944444444444,5,0,60
1,3,41,17,6,10.642222222222221,5,0,42
1,4,2,2,18,245.34027777777777,1,0,27
1,3,11,1,8,24.432777777777776,1,0,48
2,6,8,0,13,66.33583333333333,2,0,56
1,4,4,4,11,25.962222222222223,2,0,39
1,3,25,0,16,48.06444444444445,3,0,34
1,5,16,0,6,47.418055555555554,2,0,55
1,3,64,0,12,308.31194444444446,3,0,29
5,5,30,0,17,213.81333333333333,3,5,57
2,4,70,0,12,1302.043888888889,2,0,56
3,7,1102,794,13,226.17138888888888,90,0,30
1,4,17,0,9,50.32388888888889,1,0,23
1,3,47,0,12,768.4036111111111,2,0,29
1,9,7,1,8,15.893611111111111,2,0,50
1,7,19,1,15,199.12444444444444,2,0,40
1,4,11,9,10,217.80138888888888,2,0,49
1,3,104,56,8,56.1175,5,0,59
1,5,54,0,15,736.3194444444445,3,0,30
1,3,48,48,10,91.65138888888889,4,0,26
1,3,17,10,11,59.969722222222224,4,0,55
2,4,60,5,15,191.90666666666667,4,0,53
5,7,0,5,29,856.4391666666667,1,0,41
1,3,19,0,12,27.090555555555557,3,0,46
1,6,178,8,13,842.3927777777777,7,0,40
3,3,634,175,19,3525.8880555555556,8,0,54
1,3,30,15,8,31.718888888888888,3,0,50
1,4,153,15,8,168.67027777777778,6,0,64
6,3,31,10,27,797.6861111111111,4,2,28
2,3,21,2,24,388.7561111111111,6,0,45
4,3,62,61,15,202.01305555555555,26,0,25
2,3,27,17,21,202.01111111111112,3,0,24
1,4,7,7,8,12.60361111111111,3,0,34
1,4,4,12,7,12.6025,4,0,21
2,3,201,183,9,150.81916666666666,40,0,25
2,2,6,6,8,150.81833333333333,1,0,41
3,7,54,37,18,349.2916666666667,19,0,37
3,5,6,0,17,43.26722222222222,1,3,48
4,4,1,1,20,160.0088888888889,1,0,57
1,3,3,1,8,163.32555555555555,1,0,41
2,8,3,0,24,147.97083333333333,2,0,47
3,6,7,16,21,137.255,2,1,36
4,8,10,22,15,457.6558333333333,1,0,60
4,7,28,16,18,457.5188888888889,5,0,37
1,2,8,0,12,41.908055555555556,2,0,42
2,6,12,0,20,55.00805555555556,2,0,50
1,6,397,30,9,185.81027777777777,16,0,30
1,9,11,0,12,143.74416666666667,6,0,38
5,7,93,0,21,92.97527777777778,5,5,51
1,4,4,1,14,119.17388888888888,1,0,38
2,4,62,0,16,432.4477777777778,3,0,29
2,4,20,0,20,48.58111111111111,4,0,46
1,7,28,28,13,19.086666666666666,4,0,63
4,9,770,0,17,100.73611111111111,19,1,45
1,4,1,0,8,19.273333333333333,1,0,57
4,4,35,0,16,494.25083333333333,2,3,37
1,3,50,50,8,27.475,4,0,26
1,3,2,1,8,77.68583333333333,1,0,25
1,5,8,0,20,51.18805555555556,2,0,38
1,2,4,2,27,61.897222222222226,1,0,28
1,3,6,0,6,4.198055555555555,1,0,50
2,3,4,0,9,8.899722222222222,1,0,48
1,6,1,1,9,98.92888888888889,1,0,47
9,4,22,0,34,71.47916666666667,1,1,59
2,7,20,2,11,90.25861111111111,3,0,49
4,5,20,17,31,1232.61,3,0,62
1,3,47,47,19,69.04666666666667,4,0,26
1,2,4,1,7,41.59027777777778,1,0,38
2,4,6,0,16,934.9686111111112,1,0,57
1,3,11,9,6,21.00722222222222,3,0,47
1,3,15,14,8,39.07194444444445,4,0,45
2,4,18,0,12,891.2227777777778,1,0,52
2,5,14,0,32,1400.9038888888888,1,0,49
1,4,0,1,10,690.0336111111111,1,0,53
3,5,6,1,33,1394.9847222222222,2,0,38
3,4,16,0,20,1491.6977777777777,3,0,48
4,6,304,0,37,1648.8038888888889,11,1,42
2,4,6,3,26,432.9197222222222,5,0,37
5,7,3,0,48,723.6105555555556,1,0,54
1,5,8,3,14,124.9961111111111,2,0,43
1,7,16,6,12,102.04861111111111,1,1,55
2,6,15,5,18,139.23555555555555,1,0,55
1,3,48,48,12,31.6625,4,0,26
18,7,828,423,123,2701.4730555555557,46,4,30
8,4,713,1544,27,27.610277777777778,90,14,39
1,3,28,0,12,28.26888888888889,4,0,61
1,2,1,1,6,1120.6222222222223,1,0,32
1,3,12,5,8,132.84166666666667,3,0,32
1,4,1565,1307,8,8.499722222222223,6,0,45
1,5,126,1,8,18.58388888888889,22,0,61
4,3,25,0,17,193.9,3,0,41
1,3,1,0,8,3.3519444444444444,1,0,42
7,5,63,47,25,1976.1216666666667,2,0,48
1,3,49,49,8,187.2163888888889,4,0,26
2,5,1,2,11,15.180555555555555,1,1,76
3,3,2,1,22,2825.5652777777777,1,0,67
2,3,8,1,14,57.50416666666667,3,0,64
2,4,81,8,15,96.47944444444444,4,0,80
3,3,9,18,15,153.94611111111112,2,1,54
2,2,11,15,7,98.08277777777778,1,0,26
1,6,27,18,31,141.81416666666667,1,0,43
14,4,45,32,26,100.59333333333333,4,0,20
7,3,50,23,23,874.2680555555555,2,0,35
1,4,4,0,14,375.1661111111111,1,0,62
3,3,49,49,15,117.44027777777778,4,0,26
2,3,3,0,11,39.4925,1,0,21
1,3,71,69,8,10.248055555555556,69,0,56
5,7,15,5,41,1392.9,2,0,44
10,6,4,0,89,3552.8302777777776,2,0,46
1,3,7,1,8,7.715833333333333,2,0,41
2,3,9,3,17,32.48722222222222,2,1,44
1,3,69,71,13,11.419166666666667,69,0,47
1,4,23,18,10,503.3377777777778,1,0,49
1,7,7,3,36,303.80083333333334,1,0,53
3,5,8,3,25,24.49861111111111,2,0,33
1,4,20,0,23,255.2436111111111,1,0,41
1,4,0,39,13,270.42555555555555,39,0,41
2,6,5,0,39,137.09055555555557,1,0,45
2,7,4,4,48,483.65416666666664,3,1,62
1,7,81,0,7,50.17944444444444,2,0,39
2,2,220,0,10,195.82333333333332,8,0,36
2,4,36,51,14,24.97111111111111,5,0,57
1,3,48,48,16,45.61,4,0,26
2,6,0,5,18,646.8208333333333,1,0,36
1,3,2,1,8,338.6986111111111,1,0,38
1,5,3,0,12,179.4875,3,0,39
2,3,47,20,13,281.2422222222222,7,0,48
1,5,4,3,7,106.73333333333333,2,0,31
1,6,8,4,8,5474.3261111111115,3,0,53
1,6,12,1,17,64.62277777777778,1,0,50
3,4,30,6,22,442.64944444444444,3,0,35
2,6,8,0,35,765.2630555555555,1,0,67
1,4,7,0,11,37.57805555555556,1,0,34
11,6,2,3972,44,1021.6883333333334,118,4,45
1,4,38,12,20,255.01666666666668,2,0,53
1,3,17,1,7,241.1213888888889,3,0,69
4,5,101,61,16,103.90722222222222,6,0,26
1,4,17,0,8,57.83638888888889,3,0,61
2,4,82,0,18,269.61333333333334,3,0,46
1,3,1,1,8,7.131666666666667,1,0,45
1,3,1,1,12,28.183333333333334,1,0,45
1,3,1,1,8,23.99416666666667,1,0,45
1,5,3,3,12,66.53277777777778,1,0,65
2,6,20,13,18,161.51194444444445,1,0,33
1,6,62,21,10,133.66805555555555,3,0,41
2,4,1,0,40,459.22194444444443,2,0,21
2,6,14,15,18,129.63722222222222,2,0,58
1,5,1,1,11,1608.1408333333334,1,1,45
1,3,13,17,7,28.92222222222222,5,0,52
1,4,28,0,10,413.61833333333334,3,0,42
2,3,38,36,11,39.08861111111111,2,0,27
4,4,140,1,35,277.30861111111113,4,0,44
1,3,1,1,6,9.367222222222223,1,0,49
1,4,3,3,12,1422.6669444444444,2,0,44
4,5,0,3,21,357.0313888888889,1,1,21
1,4,283,0,13,982.8172222222222,10,0,38
1,3,56,12,10,177.29916666666668,3,0,44
1,6,31,9,18,449.4086111111111,6,0,67
1,7,22,0,16,386.4525,5,0,52
1,3,10,10,8,5210.211111111111,6,0,44
2,7,17,1,18,716.1541666666667,2,0,48
2,7,7,2,22,352.9241666666667,1,0,45
1,5,100,59,12,313.3905555555556,9,0,44
1,4,138,0,13,127.5988888888889,5,0,43
2,4,1,2,17,370.8077777777778,1,0,65
2,4,294,247,12,81.39194444444445,7,0,49
1,4,1,1,9,28.900833333333335,1,0,41
1,4,264,201,11,52.7275,198,0,31
1,4,10,5,16,25.491666666666667,1,0,59
1,4,30,2,14,23.503055555555555,8,0,33
1,4,3,0,12,49.455,1,0,23
1,3,41,15,8,8.918611111111112,5,0,21
1,3,1,0,8,10.645,1,0,21
2,4,13,4,12,31.029722222222222,1,0,66
1,3,0,10,7,18.814166666666665,1,0,44
1,3,0,1,22,2511.7516666666666,1,0,40
3,5,261,0,14,131.2747222222222,9,2,25
1,4,0,2,8,17.384166666666665,2,0,47
9,5,153,0,34,249.3163888888889,3,32,49
1,3,7,0,8,8.543333333333333,4,0,21
1,3,4,0,8,7.3694444444444445,2,0,21
2,3,86,149,11,510.55555555555554,4,0,51
1,3,73,143,9,67.88805555555555,36,0,56
1,4,11,1,9,8.648055555555555,2,0,44
2,4,5,2,10,76.27472222222222,2,0,33
1,3,48,48,8,18.91027777777778,4,0,26
1,4,524,339,20,199.16666666666666,14,0,59
2,4,34,6,11,29.656944444444445,3,2,53
2,3,9,3,9,0.7738888888888888,1,0,39
1,4,2,0,12,181.69333333333333,1,0,43
1,3,31,0,7,25.739444444444445,2,0,24
1,3,2,1,7,25.490277777777777,1,0,58
2,4,3,0,12,19.93166666666667,6,0,49
1,4,1,2,10,111.44944444444444,1,0,45
1,2,8,0,7,4.383333333333334,1,0,46
1,4,1,2,12,129.57583333333332,2,0,38
1,3,9,23,9,974.6619444444444,6,0,40
1,4,86,34,11,24.91,10,0,43
3,4,52,52,23,100.39027777777778,4,0,26
1,3,6,2,7,24.349444444444444,2,0,53
4,6,19,0,16,32.6925,3,0,31
2,3,18,52,9,78.16388888888889,2,0,49
1,3,115,61,6,6.908611111111111,7,0,38
1,4,14,13,12,76.22111111111111,2,0,39
2,3,347,347,12,75.72944444444444,253,1,66
1,3,42,38,9,52.145,2,0,50
2,5,21,9,23,41.4075,1,0,52
1,2,12,12,6,2.2258333333333336,7,0,52
2,4,27,18,10,8.18361111111111,4,0,47
3,3,163,0,12,114.49,4,0,33
3,3,44,7,11,114.48638888888888,3,0,50
3,3,136,0,12,114.37861111111111,4,0,37
5,4,103,101,24,76.28444444444445,3,0,19
2,4,22,2,21,566.4975,2,0,30
3,5,752,599,11,19.566666666666666,160,0,54
5,3,163,6,19,160.13055555555556,6,0,44
2,4,119,0,12,372.9219444444444,2,0,28
2,4,9,7,11,114.76666666666667,1,0,48
3,3,560,0,14,1311.5491666666667,12,4,41
1,4,48,48,9,22.226111111111113,4,0,26
1,3,10,4,9,53.87444444444444,2,0,42
2,7,66,4,26,86.2063888888889,2,0,47
2,4,3,6,13,30.947222222222223,4,0,45
1,4,1,1,7,13.895277777777778,1,0,40
1,5,86,182,7,25.755,5,0,56
1,9,4,3,20,27.939722222222223,1,0,32
1,6,0,2,20,102.66555555555556,1,0,35
1,3,1,0,6,11.069166666666666,1,0,24
1,3,0,7,6,11.059444444444445,2,0,28
3,3,332,260,10,32.49472222222222,7,0,47
1,5,0,290,14,79.13472222222222,47,0,14
8,4,19,11,16,21.350277777777777,1,0,69
1,4,14,10,9,178.32722222222222,10,0,46
4,5,75,37,16,3100.633611111111,6,0,53
4,3,76,31,16,4923.793611111111,8,0,29
1,5,40,2,12,47.44222222222222,2,0,60
1,4,3,11,12,47.73833333333334,1,0,42
1,3,5,4,8,24.63888888888889,1,0,25
3,4,29,18,17,120.39888888888889,1,1,46
4,4,36,0,15,26.39611111111111,2,0,49
1,4,7,0,8,5.030555555555556,4,0,25
1,6,1,1,14,1110.1625,1,0,64
1,3,8,5,7,1.7738888888888888,4,0,50
1,3,4,13,7,21.984166666666667,1,0,49
1,4,1,1,8,23.489166666666666,1,0,45
1,3,52,52,8,19.70777777777778,4,0,26
1,4,1,0,13,23.98361111111111,1,0,49
1,3,10,3,11,54.559444444444445,2,0,28
1,4,25,3,8,3.730277777777778,2,0,48
2,6,62,5,15,267.75333333333333,4,0,55
2,6,226,3,17,267.2683333333333,7,0,74
1,4,6,0,10,88.83305555555556,2,0,46
1,3,11,10,7,12.86,2,0,60
1,2,36,136,6,12.913055555555555,3,0,14
1,6,18,18,13,188.3275,14,0,43
1,5,8,2,17,42.20722222222222,1,0,71
2,4,95,0,11,1435.9161111111111,3,0,51
1,3,9,0,7,17.308055555555555,2,0,28
1,3,10,1,7,17.174166666666668,2,0,28
1,3,11,2,7,16.97861111111111,2,0,28
1,4,20,0,15,111.12611111111111,2,0,55
1,4,9,0,11,23.15888888888889,2,0,28
1,3,4,1,11,352.5486111111111,2,0,43
1,3,9,0,7,18.330833333333334,2,0,28
1,3,9,0,7,18.20888888888889,2,1,28
1,3,9,0,7,18.275833333333335,2,0,28
1,3,16,0,7,18.0075,3,0,28
1,3,27,65,6,13.455555555555556,4,0,49
1,3,2,2,6,13.102222222222222,1,0,24
4,5,43,11,20,1023.6633333333333,4,2,50
2,4,10,1,11,55.52194444444444,2,0,28
1,3,52,52,8,52.64944444444444,4,0,26
1,6,59,7,7,27.619722222222222,7,0,62
5,4,8,5,14,283.155,1,1,37
1,3,18,4,6,19.308055555555555,1,0,37
1,3,31,2,7,91.49833333333333,2,0,37
1,3,1,1,8,4.8213888888888885,1,0,18
4,4,169,110,17,462.3486111111111,5,0,72
1,6,1,0,10,148.5663888888889,1,0,43
2,3,45,0,10,216.59777777777776,3,0,53
3,6,386,2,22,32.045,10,3,77
1,3,6,0,8,16.623055555555556,1,0,55
1,4,10,5,12,40.14527777777778,2,0,53
1,8,7,0,8,286.85583333333335,1,0,38
2,4,74,0,28,151.41055555555556,14,0,42
2,4,62,59,11,3.4844444444444442,8,0,56
1,3,47,47,8,42.50222222222222,4,0,26
1,3,1,1,10,17.54861111111111,1,0,57
1,6,42,41,7,55.59722222222222,3,0,46
1,5,6,0,7,35.38722222222222,1,0,35
2,4,17,0,11,1511.9172222222223,3,0,49
1,3,24,23,7,49.64194444444445,1,0,31
2,7,15,7,30,138.08083333333335,1,0,33
1,6,14,2,18,345.3511111111111,2,0,33
1,3,8,2,8,5.187222222222222,2,0,49
2,6,18,17,15,26.145555555555557,13,0,27
1,5,82,0,27,182.02055555555555,8,0,53
6,5,3,1,22,146.23722222222221,1,3,53
1,4,10,1,14,142.43777777777777,2,0,59
1,5,48,3,17,286.4483333333333,6,0,43
1,4,26,17,9,70.99527777777777,4,0,43
1,6,4,0,9,16.74388888888889,1,0,31
1,4,1,1,8,19.441944444444445,1,0,56
1,4,2,2,10,76.66166666666666,1,0,65
1,3,66,66,9,6.356944444444444,66,0,54
1,5,1,2,17,2854.92,1,0,59
1,3,2,127,9,140.15833333333333,32,0,56
1,2,15,1,7,6.782777777777778,4,0,40
1,3,136,2,8,18.131944444444443,5,0,28
1,4,8,3,11,100.20416666666667,2,0,52
1,4,42,0,11,42.562777777777775,4,0,46
1,15,1,1,22,47.88722222222222,1,0,54
1,3,52,52,8,241.44916666666666,4,0,26
1,4,237,273,11,40.744166666666665,13,0,39
1,3,5,0,8,5.934722222222222,1,0,27
2,5,295,177,14,42.395833333333336,9,0,56
1,4,0,1,11,33.009166666666665,1,0,38
2,5,11,6,16,59.893055555555556,1,0,69
1,4,2,0,12,27.946944444444444,1,0,51
1,10,1,1,17,39.49472222222222,1,0,71
1,17,1,0,72,198.89416666666668,1,0,51
4,4,3,69,19,53.83166666666666,3,0,52
1,4,2,2,8,18.232222222222223,1,0,63
7,5,17,0,22,26.259166666666665,4,5,44
1,3,0,22,11,17.77166666666667,2,0,39
7,6,44,2,46,180.06944444444446,9,0,24
1,3,15,0,8,6.822222222222222,2,0,42
2,3,12,0,11,1099.8211111111111,2,0,44
1,10,2,2,22,33.11388888888889,2,0,56
1,4,5,3,7,14.387222222222222,1,0,39
2,5,13,1,26,166.2072222222222,2,0,47
8,6,56,56,45,242.27027777777778,4,0,26
1,8,6,1,10,26.929166666666667,1,0,28
2,5,5,0,14,46.757777777777775,1,0,31
2,6,12,9,10,140.94472222222223,3,0,29
1,3,1,1,7,10.802777777777777,1,0,65
2,5,2,2,24,117.78611111111111,1,0,36
1,4,3,0,8,5.544444444444444,2,0,38
2,4,25,2,17,147.73888888888888,1,0,78
2,7,8,8,12,191.9611111111111,2,0,41
1,3,51,1,8,80.31666666666666,5,0,53
4,4,5,3,26,49.32555555555555,1,0,44
1,2,44,31,6,8.0975,5,0,39
10,3,144,47,24,174.02,8,0,59
1,3,94,33,7,3.2716666666666665,11,0,45
1,4,4,0,7,1.3527777777777779,2,0,11
1,4,10,2,8,4.059166666666667,1,0,35
2,5,3,0,14,23.680833333333332,1,2,38
1,5,8,0,8,175.96277777777777,2,0,29
1,3,9,2,12,43.21388888888889,2,0,48
4,5,6,1,19,352.6777777777778,2,0,47
2,4,125,43,15,602.6627777777778,4,0,23
1,5,27,35,12,466.76972222222224,3,0,37
1,5,7,28,13,2813.0630555555554,2,0,57
1,4,225,9,15,21.391666666666666,15,0,39
1,5,16,47,24,71.24277777777777,1,0,43
3,20,49,180,108,2191.182222222222,6,0,43
1,2,2,0,7,3.941666666666667,1,0,32
1,4,856,56,6,11.794722222222223,13,0,44
4,11,8,69,49,250.26166666666666,3,1,57
2,7,25,9,29,418.4163888888889,5,0,60
1,8,59,1,12,167.8336111111111,4,0,46
1,2,9,1,6,11.945,2,0,53
1,3,2,6,7,15.316944444444445,1,0,48
1,4,6,1,9,5.838611111111111,2,0,41
1,5,5,0,10,85.83027777777778,1,0,31
2,5,4,0,8,10.874166666666667,1,0,55
1,3,1,0,6,3.006666666666667,1,0,37
1,2,2,1,8,23.330555555555556,1,0,19
