Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,4,3,0,9,12295.215833333334,1,0,38
1,4,3,3,11,10547.37611111111,1,0,50
1,4,1,1,11,10547.375277777777,1,0,34
1,3,2,2,12,6055.1836111111115,1,0,50
1,3,1,0,14,6052.0408333333335,1,0,34
2,6,1,1,23,5617.063611111111,1,0,50
1,4,1,1,11,5266.839722222222,1,1,50
1,4,1,0,9,5266.81,1,0,34
1,3,1,1,8,4610.994166666666,1,0,50
1,3,1,0,8,4610.966388888889,1,0,34
1,2,1,1,7,4441.946944444445,1,0,50
1,2,1,0,7,4441.947777777777,1,0,34
1,3,3,3,8,4278.606944444445,1,0,50
1,2,1,1,8,4250.385555555556,1,0,50
1,2,1,0,8,4250.368888888889,1,0,34
1,4,1,0,9,3989.5241666666666,1,0,34
1,5,88,1670,14,2700.407222222222,3,0,30
1,6,30,4,16,2597.568333333333,1,0,66
1,3,1,1,7,2604.7166666666667,1,0,50
1,3,1,0,7,2604.6655555555553,1,0,34
1,9,283,27,17,2372.7325,3,0,28
1,5,1,1,15,2356.0780555555557,1,0,50
1,5,1,0,15,2354.103888888889,1,0,34
1,4,1,1,9,2552.6230555555558,1,0,50
1,5,3,3,10,2663.6675,1,0,50
1,5,1,0,14,2663.645,1,0,34
1,4,1,0,9,2552.587777777778,1,0,34
1,4,1,1,14,2152.9405555555554,1,0,50
1,4,1,0,12,2152.8172222222224,1,0,34
1,3,1,0,11,2003.108888888889,1,0,34
1,3,1,0,7,1997.4802777777777,1,0,34
1,4,1,1,25,1896.986111111111,1,0,50
1,3,3,3,8,2073.366666666667,1,0,50
1,3,1,0,8,2073.348611111111,1,0,34
2,12,42,9,19,1821.0813888888888,4,0,51
3,5,2,2,27,1647.7075,1,2,57
3,6,2,2,29,1346.9280555555556,1,0,46
1,4,1,1,10,1653.6466666666668,1,1,50
1,5,2,4,26,848.2127777777778,1,0,52
1,5,2,2,13,951.4536111111111,1,0,50
1,5,2,2,11,951.3152777777777,1,0,50
1,3,4,4,9,610.7238888888888,1,0,30
1,3,2,2,8,1070.5947222222221,1,0,50
1,3,1,0,8,1070.581111111111,1,0,34
1,5,74,1152,18,811.3452777777778,5,0,33
1,3,4,4,8,854.4819444444445,1,0,50
1,4,1,0,15,854.4658333333333,1,0,34
1,4,5,5,14,336.90527777777777,2,0,21
1,3,6,6,33,480.1716666666667,2,0,26
1,4,1,1,11,229.85722222222222,1,0,44
1,16,9,0,42,202.5063888888889,1,0,64
5,7,43,203,21,210.44694444444445,6,0,22
6,8,74,1,26,210.26916666666668,2,3,25
7,6,495,302,23,210.39222222222222,13,1,44
1,2,4,4,7,440.2213888888889,1,0,50
1,2,1,0,7,440.2005555555556,1,0,34
2,5,3,3,13,165.44027777777777,1,2,49
1,4,1,0,9,598.9372222222222,1,0,34
2,5,1,0,12,594.5380555555555,1,0,34
1,4,4,1,10,462.10555555555555,2,0,70
1,7,38,1,15,250.20416666666668,2,0,46
1,6,57,3,23,456.8461111111111,2,0,57
