Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
2,10,33,6,56,3890.4397222222224,2,0,40
1,4,4,4,19,4139.938888888889,1,1,47
1,4,1,0,19,4073.561388888889,1,0,37
2,4,1,0,11,4332.0475,1,0,37
1,5,1,1,16,3985.4422222222224,1,0,47
1,5,1,0,16,3985.0730555555556,1,0,37
4,3,8,59,18,3866.5775,3,0,26
1,5,5,6,14,3209.0983333333334,4,0,56
2,6,1,1,18,3301.3680555555557,1,0,47
2,5,1,0,16,3553.8772222222224,1,0,37
1,4,1,0,8,2962.036666666667,1,0,37
2,3,3,3,11,2942.5672222222224,1,0,47
1,2,2,2,9,2630.206111111111,1,0,47
1,2,1,0,9,2630.206388888889,1,0,37
1,2,1,1,6,2630.094722222222,1,0,47
1,2,1,0,8,2629.66,1,0,37
1,4,3,3,9,2003.0852777777777,1,0,41
3,4,33,3,21,2002.4244444444444,1,5,69
1,2,1,0,7,1704.5538888888889,1,0,37
1,3,3,3,10,1845.7794444444444,1,0,47
1,3,1,1,10,1845.7788888888888,1,0,37
2,5,1,1,18,1987.8080555555555,1,1,47
1,7,24,1,24,1206.2888888888888,2,0,47
4,5,3,3,18,1602.0222222222221,1,0,47
4,5,9,8,21,1601.85,1,0,37
1,5,2,2,10,1311.5791666666667,1,0,47
1,5,1,0,10,1311.4844444444445,1,0,37
1,9,2,2,9,742.7152777777778,1,0,47
1,10,1,0,11,743.3086111111111,1,0,37
1,7,137,185,13,739.4252777777778,2,0,66
1,6,2,2,21,1416.055,1,0,47
1,6,1,0,24,1415.975,1,0,37
1,4,4,4,10,869.4413888888889,1,0,47
1,4,1,0,10,869.1866666666666,1,0,37
1,5,2,2,19,980.9986111111111,1,0,47
1,4,4,4,16,652.4402777777777,1,0,47
1,5,1,1,16,1182.3191666666667,1,5,47
1,7,11,7,16,385.09194444444444,2,0,49
1,2,1,1,7,527.2316666666667,1,0,47
1,2,1,0,7,527.2019444444444,1,0,37
1,3,1,0,8,616.8166666666667,1,0,37
1,4,7,0,16,480.1952777777778,1,0,60
2,3,1,1,10,839.8441666666666,1,0,47
1,3,125,140,8,495.5052777777778,20,0,40
2,4,1,0,10,839.7352777777778,1,0,37
1,4,1,1,8,713.9066666666666,1,1,47
1,4,1,0,8,713.9069444444444,1,0,37
1,4,0,1,10,840.3830555555555,1,0,40
1,5,14,9,9,359.42333333333335,2,0,50
1,15,20,18,22,491.62333333333333,1,0,25
3,14,87,22,46,513.3013888888889,4,0,38
2,15,59,8,33,513.1886111111111,6,0,64
1,9,7,3,17,507.84166666666664,1,0,38
2,11,36,0,28,600.1016666666667,1,4,49
1,3,12,1,13,428.3233333333333,3,0,47
1,4,16,2,9,408.90694444444443,1,0,33
2,4,1,0,12,1036.9933333333333,1,0,37
1,5,7,7,10,854.1827777777778,2,0,31
1,10,2,2,40,285.5208333333333,1,0,69
1,5,1,0,14,974.5497222222223,1,0,37
2,4,84,47,22,210.0536111111111,3,0,22
1,6,75,38,14,465.81138888888887,2,0,69
1,6,1,1,16,201.14777777777778,1,0,23
1,5,1,0,13,688.3455555555555,1,0,37
1,4,8,1,11,157.01,1,0,52
1,4,1,1,31,255.5886111111111,1,0,47
1,3,1,1,17,254.85111111111112,1,0,47
1,3,1,1,14,252.3,1,0,47
1,3,1,0,15,251.58055555555555,1,0,37
1,3,1,1,13,242.0222222222222,1,0,47
1,3,1,1,13,241.7775,1,0,47
1,3,1,1,11,237.54583333333332,1,0,47
1,4,1,0,13,237.52388888888888,1,0,37
1,4,2,2,9,817.6794444444445,1,0,47
1,4,1,0,9,817.6552777777778,1,0,37
1,3,1,1,10,72.285,1,0,47
2,2,1,1,9,405.7975,1,0,47
1,2,1,0,8,405.0588888888889,1,0,37
2,2,1,0,11,403.82472222222225,1,0,37
2,2,1,1,8,852.965,1,0,47
2,2,1,1,9,403.37611111111113,1,0,47
1,4,1,1,11,162.92055555555555,1,0,47
1,4,1,21,10,369.43111111111114,1,0,25
2,2,1,0,8,850.5125,1,0,37
2,2,1,0,8,401.00055555555554,1,0,37
1,4,1,1,10,154.47611111111112,1,0,47
1,4,1,0,10,154.45666666666668,1,0,37
1,5,1,0,12,153.66333333333333,1,0,37
1,11,138,0,11,31.85388888888889,5,0,43
1,3,3,3,9,385.17083333333335,1,0,47
1,2,1,1,8,384.98527777777775,1,0,47
1,3,1,0,9,385.0652777777778,1,0,37
1,2,1,0,8,384.9577777777778,1,0,37
1,3,3,3,9,384.9508333333333,1,0,47
1,3,1,0,8,384.9066666666667,1,0,37
1,2,89,98,9,27.80472222222222,13,0,38
3,2,51,1040,11,220.62833333333333,18,0,33
1,3,1,1,13,138.32944444444445,1,0,47
1,3,1,0,7,137.75944444444445,1,0,37
1,3,1,0,7,137.53583333333333,1,0,37
1,3,1,1,9,137.5063888888889,1,0,47
1,3,1,0,7,136.81166666666667,1,0,37
1,3,2,2,8,824.2683333333333,1,0,47
1,3,1,0,8,824.18,1,0,37
1,4,7,0,8,492.93555555555554,2,0,60
1,3,1,0,10,124.6613888888889,1,0,37
1,4,1,1,9,441.1611111111111,1,0,47
1,4,1,0,9,441.1333333333333,1,0,37
1,3,24,0,10,340.23527777777775,5,0,26
1,3,1,0,8,120.25555555555556,1,0,37
1,3,1,1,9,118.89055555555555,1,0,47
1,4,1,0,8,118.76972222222223,1,0,37
1,6,1,1,10,89.55805555555555,1,0,48
3,7,2,2,21,93.13555555555556,1,1,41
1,3,1,1,8,514.1619444444444,1,0,47
1,4,1,0,8,513.6436111111111,1,0,37
1,4,1,0,12,112.79888888888888,1,0,37
1,3,1,1,11,107.32444444444444,1,0,47
1,3,1,0,11,107.30305555555556,1,0,37
1,3,1,1,9,107.02055555555556,1,0,47
1,3,1,0,11,106.90444444444445,1,0,37
1,3,1,1,15,106.90194444444444,1,0,47
1,3,1,0,13,106.7213888888889,1,0,37
1,4,12,2,9,85.59833333333333,1,0,33
1,3,1,1,9,101.8225,1,0,47
1,3,1,1,9,101.77972222222222,1,0,47
1,3,1,1,9,101.7,1,0,47
1,3,1,1,9,101.65666666666667,1,0,47
1,3,1,1,11,101.81833333333333,1,0,47
1,3,1,1,9,101.59861111111111,1,0,47
1,3,1,1,9,101.60972222222222,1,0,47
1,3,1,1,9,101.55027777777778,1,0,47
1,3,1,1,9,101.4725,1,0,47
1,3,1,1,9,101.48277777777778,1,0,47
1,3,1,1,9,101.47805555555556,1,0,47
1,3,1,1,9,101.37472222222222,1,0,47
1,3,1,1,11,101.34972222222223,1,0,47
1,3,1,0,8,101.07305555555556,1,0,37
1,3,1,0,8,100.96305555555556,1,0,37
1,3,1,0,8,101.0111111111111,1,0,37
1,3,1,0,8,100.93805555555555,1,0,37
1,3,1,0,8,100.72416666666666,1,0,37
1,3,1,0,8,100.65555555555555,1,0,37
1,3,1,1,9,100.45472222222222,1,0,47
1,3,1,0,8,100.49361111111111,1,0,37
1,3,1,0,9,100.51138888888889,1,0,37
1,3,1,1,9,100.4113888888889,1,0,47
1,3,1,0,7,100.40583333333333,1,0,37
1,5,5,0,9,74.895,1,0,51
1,3,1,0,8,100.19027777777778,1,0,37
1,3,1,0,9,100.27194444444444,1,0,37
1,3,1,0,8,100.1463888888889,1,0,37
1,3,1,0,8,100.04916666666666,1,0,37
1,3,1,0,8,99.52277777777778,1,0,37
1,3,1,0,8,99.56,1,0,37
1,3,1,1,9,99.17527777777778,1,0,47
1,3,1,1,9,98.71916666666667,1,0,47
1,3,1,1,9,98.67944444444444,1,0,47
1,3,1,1,9,98.65972222222223,1,0,47
1,3,1,0,8,98.48444444444445,1,0,37
1,3,1,1,11,98.4738888888889,1,0,47
1,3,1,0,8,98.33944444444444,1,0,37
1,3,1,0,8,98.09666666666666,1,0,37
1,3,1,0,8,98.16722222222222,1,0,37
1,3,1,1,9,98.21555555555555,1,0,47
1,3,1,0,9,97.98694444444445,1,0,37
1,3,1,0,7,97.85527777777777,1,0,37
1,5,3,2,9,2.403611111111111,2,0,35
1,3,1,1,8,97.32805555555555,1,0,47
1,3,1,0,7,97.28083333333333,1,0,37
1,5,1,0,7,11.286388888888888,1,0,45
2,3,1,1,10,737.0741666666667,1,0,47
2,3,1,1,10,737.0466666666666,1,0,37
1,4,9,0,9,476.83166666666665,1,0,33
1,3,1,1,7,3.712222222222222,1,0,52
1,3,2,2,16,62.54972222222222,1,0,39
1,2,31,11,7,8.867777777777778,4,0,40
1,3,1,1,8,87.3275,1,0,47
1,3,1,0,7,87.26361111111112,1,0,37
1,4,1,1,14,85.1138888888889,1,0,47
1,4,1,0,11,84.84277777777778,1,0,37
1,3,1,1,8,84.46416666666667,1,0,47
1,4,1,0,8,84.44333333333333,1,0,37
1,4,3,2,11,56.15222222222222,3,0,29
1,3,53,19,8,55.501666666666665,1,0,56
1,8,12,0,41,176.72472222222223,2,0,24
1,6,28,1,25,53.53,4,0,61
2,4,1,1,11,42.71722222222222,1,0,58
2,3,1,1,10,292.3677777777778,1,0,47
2,3,1,0,12,291.585,1,0,37
1,2,2,1,8,18.677222222222223,1,0,39
5,7,87,0,21,1.24,1,0,67
3,7,359,5,17,19.091666666666665,7,0,34
1,8,162,29,14,19.384166666666665,15,0,44
1,3,39,38,7,10.882222222222222,2,0,40
1,5,1,1,11,420.5577777777778,1,0,47
1,5,1,0,12,420.4447222222222,1,0,37
2,4,38,2546,13,113.3325,18,0,33
2,3,19,5,10,111.72166666666666,1,0,33
1,3,1,0,7,29.921388888888888,1,0,37
1,3,1,1,8,28.91138888888889,1,0,47
1,3,1,1,8,28.83361111111111,1,0,47
1,3,1,0,7,28.887777777777778,1,0,37
2,7,45,46,24,34.99638888888889,45,0,27
1,3,1,0,7,28.770555555555557,1,0,37
1,3,1,1,8,28.54861111111111,1,0,47
1,3,1,0,7,28.398611111111112,1,0,37
1,4,25,0,11,0.9647222222222223,1,0,34
1,4,23,0,8,0.9655555555555555,1,0,31
1,6,11,3,19,34.29527777777778,3,0,46
1,6,1,1,11,716.5391666666667,1,0,47
1,6,1,0,11,716.5008333333334,1,0,37
1,4,8,0,8,4.583611111111111,1,0,66
1,6,37,1,12,141.22555555555556,4,0,43
1,3,27,0,9,23.615277777777777,3,0,53
1,4,2,2,9,25.385277777777777,2,0,71
1,5,1,1,13,22.8675,1,0,61
2,9,2,2,15,42.024166666666666,2,0,48
1,4,35,117,9,3.037777777777778,1,0,42
1,4,2210,56,8,4.58,16,0,32
1,4,22,25,7,2.992777777777778,3,0,48
1,4,50,17,7,2.9925,6,0,42
