Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
19,21,402,4,142,30518.7025,2,14,32
8,12,173,2,44,28437.323333333334,3,37,39
7,7,57,44,33,27288.49777777778,6,6,54
1,1,1,1,4,387.6686111111111,1,0,47
1,1,1,1,4,387.4816666666667,1,0,47
1,5,4,4,9,379.9872222222222,3,0,47
1,3,2,2,7,9.386111111111111,1,0,47
16,69,301,61,440,28395.38861111111,8,30,16
2,17,19,25,72,24798.675833333335,4,1,66
13,25,7,0,54,24683.149444444443,1,6,49
19,12,364,29,70,25188.323888888888,9,12,52
20,12,87,2,70,24225.4425,10,13,44
19,38,444,21,369,23816.481111111112,4,41,35
7,32,8,21,112,22215.154166666667,2,1,39
7,76,66,2,265,20818.861944444445,2,10,51
4,17,3,1,40,22628.473055555554,1,6,49
6,26,119,3,66,20395.908333333333,2,5,60
10,17,159,0,62,19159.93833333333,1,44,38
7,11,32,3,39,21448.949722222223,1,7,67
7,7,8,5,40,18916.880833333333,1,3,61
8,8,258,0,43,21678.443888888887,1,28,32
13,8,69,0,46,18016.373888888887,3,2,44
3,12,51,0,28,21627.21361111111,1,4,40
22,12,56,0,104,18087.8325,3,27,47
7,14,5,2,54,17284.366666666665,1,2,46
3,6,0,221,14,16982.335277777776,1,0,41
23,100,188,10,559,19385.810833333333,1,94,53
5,69,42,0,156,18102.988611111112,2,2,45
7,14,42,0,37,18121.960833333334,1,6,53
27,8,109,151,99,16593.964722222223,3,5,42
11,13,21,2,105,18025.704444444444,1,9,55
34,20,188,0,225,18028.86138888889,2,64,38
3,4,4,5,15,14.7875,1,0,31
57,39,560,92,609,17589.73611111111,9,40,58
87,44,218,6,913,17646.5675,7,64,30
33,36,134,3,422,18760.792777777777,6,43,43
28,36,147,11,410,18759.219444444443,6,81,37
3,5,3,60,14,17204.577222222222,2,0,25
5,7,8,1,32,15232.725277777778,1,2,55
5,24,35,39,67,16501.413055555557,4,0,32
8,13,33,189,40,16466.780277777776,4,7,40
1,2,1,0,6,0.28694444444444445,1,0,47
1,3,6,5,8,1.0955555555555556,1,1,50
45,16,33,37,123,17415.974166666667,6,62,89
1,2,1,1,6,0.36833333333333335,1,0,31
1,3,16,2,7,25.487222222222222,3,0,16
2,14,5,0,14,14660.368055555555,1,0,29
5,6,108,54,23,44.16888888888889,35,2,27
8,15,41,3,62,16125.942222222222,3,19,35
8,25,2,0,99,14906.818055555555,3,14,30
7,12,34,29,43,17877.248055555556,2,2,66
32,19,149,9,143,14851.991944444444,3,37,45
5,11,47,13,29,17481.43361111111,1,11,35
16,10,272,0,90,16739.761388888888,2,75,37
14,13,153,0,75,15972.104444444445,1,32,36
14,13,20,1,72,13174.793055555556,2,19,42
13,24,502,0,92,16475.10722222222,1,150,21
22,24,63,47,96,13408.696666666667,6,37,27
5,24,20,3,98,15395.330555555556,2,12,48
27,33,411,0,90,12781.506111111112,3,112,17
6,13,35,36,33,15320.671944444444,1,2,45
17,26,110,10,119,13289.748055555556,2,29,48
6,7,316,17,26,11577.351666666667,8,0,33
22,9,441,3,69,14256.507777777777,2,25,48
6,8,166,0,20,14325.044722222223,1,2,25
4,11,25,5,29,12110.173055555555,1,12,55
4,14,4,0,38,12866.597777777777,1,3,25
2,4,5,2,10,13098.313333333334,1,0,62
9,6,87,9,27,12778.824444444444,1,1,57
24,11,640,0,64,11934.731944444444,10,28,25
2,3,1,0,8,2.9702777777777776,1,0,29
5,10,100,2,34,11601.202222222222,3,2,64
10,80,25,3,317,11885.258333333333,3,10,42
1,7,1,1,10,96.29194444444444,1,0,34
6,8,49,1,31,12149.288333333334,1,5,83
1,5,116,0,12,14085.89388888889,1,0,42
2,4,161,0,13,14106.475277777778,1,0,42
2,3,6,3,11,57.02638888888889,2,1,10
15,11,808,0,93,13394.888055555555,10,25,33
1,2,1,1,6,54.515277777777776,1,0,47
1,4,4,0,8,7.0633333333333335,1,0,63
9,6,226,3,37,10246.609166666667,2,24,40
1,5,1,0,7,19.557222222222222,1,0,36
3,11,3,1,34,103.90555555555555,1,0,27
6,26,132,0,133,12942.836666666666,3,22,46
4,8,20,1,23,10399.224166666667,2,10,42
1,8,2,2,16,13551.48361111111,1,0,8
1,4,163,0,9,13552.705,1,3,30
10,15,165,0,52,11944.565,1,31,69
3,45,43,0,133,10364.461388888889,2,3,45
1,3,5,0,20,24.371666666666666,1,0,47
1,6,1,1,11,7.162222222222222,1,0,46
4,52,32,9,209,10271.979166666666,2,8,43
2,3,7,1,10,23.522777777777776,1,0,67
22,16,396,0,118,11071.798055555555,3,183,51
1,3,2,0,6,8.896666666666667,1,0,21
4,7,12,10,30,9801.004444444445,2,2,45
1,3,50,31,7,2.1822222222222223,2,0,20
1,3,54,32,7,2.0683333333333334,2,0,20
1,3,58,33,7,2.0633333333333335,2,0,20
1,2,1,1,6,1.7180555555555554,1,0,17
1,2,74,37,7,1.926111111111111,2,0,20
1,2,57,36,6,1.9302777777777778,2,0,20
1,2,66,35,7,1.9180555555555556,2,0,20
1,2,62,34,7,1.9175,2,0,20
1,2,54,32,6,1.91,2,0,20
1,2,54,32,6,1.9119444444444444,2,0,20
1,3,66,35,8,1.916111111111111,2,0,20
1,2,50,31,6,1.9119444444444444,2,0,20
1,2,62,34,7,1.9094444444444445,2,0,20
1,2,50,31,7,1.9236111111111112,2,0,20
1,2,58,33,7,1.9208333333333334,2,0,20
1,2,62,34,6,1.9144444444444444,2,0,20
1,2,54,32,7,1.9141666666666666,2,0,20
1,2,54,32,7,1.9188888888888889,2,0,20
1,2,58,33,7,1.9247222222222222,2,0,20
1,2,62,34,6,1.9194444444444445,2,0,20
1,2,54,32,6,1.9141666666666666,2,0,20
1,2,53,35,6,1.8827777777777779,2,0,20
1,2,72,46,6,1.8805555555555555,2,0,20
1,4,54,32,8,0.4638888888888889,2,0,20
11,10,19,35,40,9150.655,1,5,39
6,6,135,2,28,1709.6127777777779,3,2,37
1,7,1,1,16,1675.6083333333333,1,0,48
3,4,63,8,20,8.671666666666667,2,0,46
1,7,5,1,13,893.6191666666666,1,0,45
1,3,1,1,13,501.8075,1,0,32
1,3,22,2,7,1.183888888888889,3,0,54
4,7,7,1,23,7199.860833333333,1,1,49
2,6,6,3,14,245.82,1,0,34
2,4,4,0,9,6.038611111111111,2,0,48
1,4,24,20,8,5.924722222222222,3,0,43
1,8,11,5,12,10576.436944444444,2,2,45
4,4,9,6,17,222.5975,1,0,9
11,13,104,4,63,8916.497222222222,4,23,44
2,4,5,1,10,65.6475,1,0,30
2,3,62,10,16,226.3075,2,0,43
3,4,1,1,18,575.2158333333333,1,0,32
3,7,1,29,19,26.826666666666668,1,0,33
1,3,141,35,11,169.53805555555556,5,0,34
1,3,142,69,8,169.46833333333333,7,0,32
1,3,0,0,12,345.31166666666667,1,0,41
2,8,4,1,30,550.2011111111111,1,3,44
1,2,4,0,6,8.587777777777777,1,0,31
1,7,10,4,23,1535.5002777777777,2,0,40
1,3,1,1,7,42.76083333333333,1,0,32
1,4,1,1,8,22.744444444444444,1,0,32
7,5,166,1,28,10045.692222222222,2,1,49
4,4,140,6,16,9945.193333333333,2,0,42
1,3,124,0,15,4878.311111111111,2,0,53
1,3,11,2,7,10.313055555555556,1,0,40
1,2,2,0,7,8.194444444444445,1,0,18
1,8,2,2,12,318.89944444444444,1,0,44
1,4,8,0,10,10.429722222222223,1,0,34
2,4,3,3,13,201.12222222222223,1,0,31
8,17,328,0,70,10513.60611111111,1,89,32
3,57,34,0,129,8701.175833333333,2,5,45
1,4,5,0,12,81.18555555555555,2,0,48
2,2,1,1,8,12.905,1,0,148
2,3,108,165,9,122.59333333333333,2,0,66
6,61,57,0,225,8898.25111111111,2,23,47
2,8,5,5,19,482.31583333333333,1,0,284
1,3,1,1,7,3.596388888888889,1,0,59
1,3,0,0,11,61.463055555555556,1,0,41
7,7,92,1,34,8708.8425,5,21,64
1,4,5,2,8,1.7525,2,0,23
1,6,2,0,9,10.435277777777777,1,0,43
1,2,2,2,12,13.7775,1,0,35
2,4,3,3,11,10.03,1,0,41
1,3,0,0,8,9.92388888888889,1,0,41
2,6,5,5,16,9893.687222222223,2,0,35
1,3,0,0,7,7.965833333333333,1,0,41
1,3,0,0,7,7.8775,1,0,41
1,3,0,0,8,6.583055555555555,1,0,41
1,3,0,0,8,5.271944444444444,1,0,41
1,2,0,0,7,4.601388888888889,1,0,41
1,2,0,0,6,4.605,1,0,41
4,4,6,0,14,4.6375,1,1,41
1,3,0,0,8,4.373611111111111,1,0,41
1,3,0,0,8,4.349722222222222,1,0,41
1,3,0,0,7,3.3141666666666665,1,0,41
1,3,0,0,8,2.3194444444444446,1,0,41
1,3,0,0,8,2.3427777777777776,1,0,41
1,3,0,0,7,2.0502777777777776,1,0,41
1,2,0,0,6,1.8252777777777778,1,0,41
1,2,0,0,6,1.8688888888888888,1,0,41
1,2,0,0,6,1.8772222222222221,1,0,41
44,13,358,384,207,9645.986666666666,33,61,45
4,6,102,114,52,1251.7733333333333,2,0,56
1,3,2,1,7,591.2175,2,0,535
1,9,4,27,13,306.6669444444444,3,0,23
1,3,19,5,7,4.256944444444445,2,0,35
1,2,90,4,6,2.687777777777778,1,0,33
1,3,1,1,7,35.97694444444444,1,0,32
1,3,31,0,9,32.30444444444444,1,0,52
16,10,104,28,83,9164.03638888889,10,9,41
1,3,1,2,6,1.1636111111111112,1,0,39
1,5,1,1,13,24.461388888888887,1,0,32
1,3,4,0,7,16.5125,2,0,31
1,4,1,1,8,16.815555555555555,1,0,32
1,5,58,1,16,102.945,2,0,34
1,4,10,1,8,8.336944444444445,2,0,41
1,2,1,1,6,2.2616666666666667,1,0,32
1,6,4,1,12,87.88083333333333,1,0,46
1,5,2,1,10,56.1525,1,0,25
2,6,8,9,22,9025.94638888889,24,5,24
1,6,0,1,9,56.09222222222222,1,0,45
1,4,2,1,8,6.076388888888889,2,0,41
1,3,31,0,7,0.8858333333333334,1,0,53
3,3,87,1,11,2.9002777777777777,2,0,42
1,3,2,2,7,20.77,2,0,64
1,5,4,4,9,4.390555555555555,2,0,50
2,3,1,1,10,25.877222222222223,1,0,33
1,2,2,3,6,4.6161111111111115,3,0,47
3,2,57,1,8,17.337777777777777,1,0,32
1,3,2,2,8,5.988888888888889,1,0,32
1,3,1,1,7,145.48333333333332,1,0,65
1,7,5,0,20,6.55,2,0,54
1,4,1,0,8,121.08583333333333,1,0,55
5,5,3,3,37,106.15416666666667,3,0,17
2,3,2,2,17,79.5325,1,0,55
1,2,4,4,6,0.11083333333333334,1,0,53
3,8,103,37,20,8284.611388888889,3,2,53
8,10,28,0,62,8947.871111111112,3,11,38
6,10,13,2,36,5468.3525,1,0,49
5,11,73,98,36,7962.496666666667,1,10,25
1,3,6,6,9,203.1575,1,0,30
5,7,50,24,29,9360.176666666666,2,0,36
1,3,6,6,7,14.23638888888889,1,0,49
2,2,1,1,11,71.26444444444445,1,0,48
2,5,115,116,39,863.9041666666667,2,0,52
1,4,21,1,11,3.0213888888888887,2,0,52
60,45,439,7,750,10589.038055555555,7,144,29
1,2,7,6,6,1.5763888888888888,1,0,33
2,3,8,4,9,80.84916666666666,2,0,25
1,3,3,0,7,71.33805555555556,1,0,24
21,17,35,7,114,8594.68861111111,1,35,45
3,4,1,1,14,2437.431111111111,1,0,32
4,7,34,6,27,769.7447222222222,3,0,21
4,2,2,2,12,3970.2280555555553,1,0,32
1,4,14,5,14,253.6911111111111,2,0,45
2,9,2,0,21,740.0744444444445,1,0,41
1,4,3,0,38,70.21,1,0,39
2,6,57,0,25,312.3952777777778,1,0,39
2,7,169,122,11,1.6175,17,0,28
1,3,8,0,15,491.62305555555554,1,0,55
1,4,1,1,16,19.02,1,0,25
2,4,59,0,12,234.09222222222223,2,0,39
2,3,23,6,9,6.596388888888889,1,0,36
3,4,54,0,16,185.575,1,0,39
1,3,1,1,25,1584.4783333333332,1,0,32
2,3,35,2,8,16.125833333333333,2,0,23
5,5,0,449,26,52.839444444444446,2,0,31
1,7,1,1,10,145.0963888888889,1,0,48
8,5,3,915,44,9691.7525,8,0,40
4,4,0,181,27,9789.25861111111,2,0,26
1,3,1,1,8,19.52,1,0,59
1,5,5,5,11,13.665277777777778,1,0,49
1,3,1,1,9,339.93694444444446,1,0,64
1,4,1,1,8,340.1166666666667,1,0,56
4,7,58,0,30,187.76833333333335,2,0,39
1,2,12,4,22,284.6636111111111,2,0,46
2,3,4,2,10,39.75055555555556,2,1,33
1,2,11,2,6,3.918888888888889,1,0,33
3,2,57,0,11,215.8761111111111,1,0,39
1,3,57,0,21,178.02416666666667,1,0,39
1,6,65,2,17,22.229166666666668,4,0,49
3,9,0,3,23,9327.978055555555,1,0,51
1,2,60,0,8,148.7575,2,0,39
1,3,0,15,7,7.269722222222223,1,0,36
