Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
2,9,66,0,25,9212.920833333334,2,2,55
6,8,181,0,25,9523.996111111112,4,6,57
1,6,1,0,10,529.9366666666666,1,0,61
1,6,1,0,10,529.9075,1,0,46
1,8,22,0,15,107.14277777777778,6,0,55
1,6,36,18,9,33.035555555555554,3,0,50
1,4,19,0,57,348.5861111111111,3,0,44
1,3,2,0,7,218.22972222222222,1,0,39
1,3,49,8,7,190.69305555555556,2,2,40
1,4,29,0,16,120.99583333333334,3,0,48
1,2,14,1,10,602.2213888888889,1,0,36
1,3,14,1,11,601.0877777777778,1,0,36
1,3,58,58,9,21.88,3,0,26
1,4,7,1,10,480.03694444444443,2,0,57
1,5,7,2,19,56.821666666666665,1,0,54
1,3,16,6,8,3.6558333333333333,5,0,47
1,4,7,8,9,614.8297222222222,2,0,31
2,4,1,0,18,423.9169444444444,1,0,37
1,4,22,18,8,32.83222222222222,1,0,42
1,6,4,4,9,4.035,2,0,29
1,3,14,1,13,205.92361111111111,1,0,36
1,7,1,0,14,214.9013888888889,1,0,27
2,6,6,5,18,667.7088888888889,1,0,32
2,5,136,1,21,668.1083333333333,4,0,25
1,4,239,98,8,139.02777777777777,8,0,43
1,3,14,1,12,88.94027777777778,1,0,36
1,3,14,1,9,88.1,1,0,36
1,3,14,1,14,87.5975,1,0,36
1,3,14,1,9,87.44694444444444,1,0,36
1,3,14,1,14,87.37055555555555,1,0,36
1,2,14,1,7,86.74555555555555,1,0,36
1,2,14,1,7,86.63666666666667,1,0,36
1,3,14,1,15,86.56388888888888,1,0,36
1,3,1,1,7,40.20361111111111,1,0,48
2,7,117,109,16,26.420555555555556,52,1,63
1,3,14,1,7,18.721944444444443,1,0,36
1,3,14,1,11,18.73111111111111,1,0,36
1,3,14,1,9,12.255555555555556,1,0,36
1,3,14,1,9,11.843333333333334,1,0,36
1,3,14,1,7,4.121388888888889,1,0,36
1,3,14,1,7,2.7330555555555556,1,0,36
1,3,14,1,7,2.4616666666666664,1,0,36
2,3,45,3,10,246.6338888888889,2,0,36
1,3,14,1,7,2.3558333333333334,1,0,36
1,3,14,1,8,1.9075,1,0,36
1,3,14,1,7,1.4227777777777777,1,0,36
1,3,14,1,7,1.4119444444444444,1,0,36
2,4,7,0,11,18.490555555555556,7,0,38
1,4,1,0,7,28.609444444444446,1,0,41
1,4,4,0,7,28.49416666666667,2,0,37
1,4,1,0,7,28.48361111111111,1,0,47
1,6,29,4,7,20.58111111111111,2,0,60
1,4,0,1,11,21.353055555555557,1,0,47
1,4,1,0,7,18.238055555555555,1,0,50
1,3,79,79,12,57.69111111111111,3,0,26
6,7,73,9,25,176.415,46,1,44
1,4,7,2,7,23.95888888888889,2,0,36
2,4,31,2,16,195.7863888888889,2,0,36
2,4,31,2,17,194.33083333333335,2,0,36
1,4,24,12,8,481.15833333333336,2,0,42
1,4,186,0,13,96.44805555555556,3,0,29
1,3,31,2,12,64.86222222222223,2,0,36
1,3,31,2,12,43.66166666666667,2,0,36
3,4,215,0,15,10064.02638888889,3,3,42
2,3,1,0,8,993.7180555555556,1,0,45
1,6,64,2,8,9.291944444444445,2,0,26
1,2,31,2,7,3.378888888888889,2,0,36
1,2,31,2,7,3.2258333333333336,2,0,36
1,2,31,2,7,3.2044444444444444,2,0,36
1,2,31,2,7,3.181388888888889,2,0,36
1,2,31,2,6,2.731388888888889,2,0,36
1,2,31,2,6,2.569722222222222,2,0,36
1,2,31,2,6,2.473333333333333,2,0,36
1,2,31,2,6,2.4225,2,0,36
1,2,31,2,6,2.412777777777778,2,0,36
1,2,31,2,6,2.3741666666666665,2,0,36
1,2,31,2,6,2.325833333333333,2,0,36
1,2,31,2,6,2.234166666666667,2,0,36
1,2,31,2,6,2.248611111111111,2,0,36
1,2,31,2,6,2.221111111111111,2,0,36
1,2,31,2,6,2.158611111111111,2,0,36
1,2,31,2,6,1.843611111111111,2,0,36
1,2,31,2,6,1.8069444444444445,2,0,36
1,2,31,2,6,1.7183333333333333,2,0,36
1,3,7,1,9,49.660555555555554,1,0,47
4,11,78,70,22,64.17194444444445,1,1,28
1,4,62,6,8,60.24138888888889,4,0,34
1,6,10,15,9,40.55916666666667,2,0,52
1,4,20,9,8,39.16111111111111,1,0,64
1,3,1,1,7,6.039444444444444,1,0,19
1,5,2,1,13,692.9091666666667,1,0,34
1,4,105,0,16,885.6413888888889,3,0,50
