Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,3,63,7,7,21.961111111111112,3,0,39
1,3,0,1,6,18.522777777777776,1,0,30
1,7,50,2,12,147.1475,4,0,39
2,3,29,3,9,64.63527777777777,2,0,69
2,5,17,5,62,1788.1619444444445,1,0,42
1,3,15,5,12,381.5086111111111,1,0,60
1,3,3,1,7,32.263333333333335,1,0,41
1,3,17,2,6,11.455555555555556,5,0,60
1,3,41,17,6,11.454166666666667,5,0,42
1,3,22,2,8,65.40972222222223,5,0,34
1,3,1,1,9,30.131666666666668,1,0,43
4,4,213,14,31,8274.177222222223,13,0,21
1,5,64,0,12,275.3588888888889,3,0,29
1,3,17,2,13,273.80361111111114,2,0,32
1,3,25,0,9,68.98833333333333,3,0,34
1,4,1,0,9,3.1980555555555554,1,0,44
1,3,54,54,14,185.02555555555554,4,0,27
1,3,1,1,7,232.3761111111111,1,0,51
1,3,6,6,7,29.897777777777776,2,0,41
6,7,1100,791,19,391.26444444444445,90,0,30
7,9,8,0,26,534.0019444444445,2,0,42
1,10,7,1,9,16.0375,2,0,50
1,4,8,0,8,46.17138888888889,1,0,23
1,4,103,55,11,56.2025,5,0,59
1,3,17,10,13,76.535,4,0,55
1,2,8,0,11,36.803333333333335,2,0,56
3,4,20,2,15,152.34472222222223,2,0,78
4,7,17,0,33,11268.960555555555,3,1,21
5,4,4,2,22,123.83166666666666,1,8,42
1,3,62,0,13,674.0455555555556,3,0,29
1,5,139,19,10,673.7122222222222,7,0,42
2,5,62,0,11,673.315,3,0,29
2,3,4,2,10,74.60333333333334,1,0,55
1,3,2,0,8,24.530833333333334,1,0,32
1,7,19,1,11,29.86277777777778,2,0,40
6,7,36,25,24,7260.575277777778,2,0,41
1,6,0,5,13,815.0605555555555,1,0,41
9,4,16,10,31,821.7744444444445,3,187,52
4,4,25,4,22,520.1763888888889,4,4,30
1,5,54,0,9,543.1125,3,0,30
1,7,25,9,17,816.7633333333333,4,0,28
1,4,60,5,10,26.04888888888889,4,0,53
1,8,262,147,14,153.78027777777777,6,0,64
4,9,12,4,25,9680.75,1,6,46
4,4,21,2,19,484.7652777777778,5,0,30
1,4,7,7,8,10.108611111111111,3,0,34
1,3,4,12,6,10.1075,4,0,21
11,8,17,2,65,8874.275555555556,2,3,32
5,5,58,57,27,191.6588888888889,24,2,25
2,3,26,14,13,191.65694444444443,3,0,24
3,4,1,1,14,169.4311111111111,1,0,26
3,5,195,177,16,169.43027777777777,38,1,25
2,6,63,42,12,369.46,22,0,37
1,3,432,17,19,322.82138888888886,18,0,30
1,8,3,0,25,147.445,2,0,47
1,4,19,0,9,81.29138888888889,3,0,46
1,2,6,6,6,27.3675,1,0,41
1,6,12,0,7,11.571666666666667,2,0,50
1,5,16,0,8,204.6952777777778,2,0,55
1,2,1,1,6,3.77,1,0,33
2,6,4,1,13,349.1413888888889,1,0,45
1,6,178,8,10,405.55305555555555,7,0,40
1,7,93,0,8,71.53138888888888,5,0,51
2,4,3,1,12,95.99055555555556,1,0,37
9,8,8,20,32,372.0855555555556,1,0,60
1,7,29,7,12,372.0811111111111,5,0,37
2,4,62,0,13,397.3038888888889,3,0,29
57,15,951,13,315,10953.656111111111,12,400,48
2,9,11,0,14,52.294444444444444,6,0,38
1,3,1,1,9,27.401666666666667,1,0,42
3,9,768,0,12,100.8425,19,0,45
1,3,55,55,12,45.202222222222225,4,0,27
1,4,1,0,11,19.403055555555557,1,0,57
3,5,35,0,38,513.8477777777778,2,2,37
1,3,2,1,9,77.71055555555556,1,0,25
2,5,38,17,19,7798.233055555555,5,2,36
1,3,6,0,6,3.1055555555555556,1,0,50
1,2,4,2,7,6.012222222222222,1,0,28
2,6,1,15,18,98.93444444444444,1,0,47
3,3,110,24,25,387.6172222222222,11,0,45
2,7,20,2,15,85.97527777777778,3,0,49
1,3,4,1,8,40.160555555555554,1,0,38
1,5,4,8,8,275.8197222222222,1,0,24
1,3,63,53,10,22.626944444444444,5,0,27
2,4,0,7,10,74.02305555555556,1,0,59
2,2,6,0,8,621.4925,1,0,57
1,5,8,0,7,31.99861111111111,2,0,38
2,3,30,15,39,1207.1675,3,0,50
1,2,18,0,8,907.5988888888888,1,0,52
1,3,11,9,6,21.018333333333334,3,0,47
1,3,8,1,11,881.2647222222222,1,0,50
1,4,14,0,31,1265.7752777777778,1,0,48
1,3,15,14,8,11.726944444444445,4,0,45
1,4,17,44,8,9.269444444444444,21,0,41
1,5,20,17,14,122.83111111111111,3,0,68
1,2,1,1,22,1371.8002777777779,1,0,32
3,5,44,30,19,543.3052777777777,2,0,34
1,3,54,54,14,77.81444444444445,4,0,27
3,4,19,0,19,1874.3661111111112,3,0,43
1,4,4,1,20,178.63555555555556,1,0,38
1,4,1,1,20,9.519444444444444,1,0,47
2,4,6,1,27,1114.6705555555557,2,0,38
1,3,28,0,7,12.801111111111112,4,0,61
1,3,12,5,12,131.4961111111111,3,0,32
1,3,70,9,8,6.161388888888889,3,0,31
1,3,52,52,29,236.3075,4,0,27
2,5,126,1,10,19.445555555555554,23,0,61
3,3,25,0,17,193.86416666666668,3,1,41
1,3,1,0,13,5.484444444444445,1,0,42
1,4,6,3,10,287.3808333333333,5,0,37
3,3,15,0,23,1338.4019444444446,3,0,42
2,3,10,0,9,304.0761111111111,1,0,33
1,3,6,0,11,783.4116666666666,1,0,53
1,3,6,1,8,57.17194444444444,1,0,21
2,3,10,1,11,57.42861111111111,3,0,64
2,3,9,18,12,153.5886111111111,2,1,54
1,4,82,8,14,78.55472222222222,4,0,80
7,4,51,12,22,115.92444444444445,5,0,20
1,5,27,18,26,89.57694444444445,1,0,43
4,3,76,61,16,117.58222222222223,5,0,27
2,7,3,0,19,650.6666666666666,1,0,54
1,3,3,0,8,39.126666666666665,1,0,21
1,3,71,69,15,14.52361111111111,69,0,56
1,3,7,1,9,7.733611111111111,2,0,41
1,3,19,0,21,230.07944444444445,1,0,45
1,3,69,71,10,6.719722222222222,69,0,47
1,4,23,18,9,504.0125,1,0,49
1,5,0,39,19,433.47222222222223,39,0,41
1,3,44,4,8,33.5275,5,0,33
2,4,7,1,19,29.030833333333334,2,0,33
2,3,1,1,10,6.740833333333334,2,0,51
1,7,81,0,16,89.05611111111111,2,0,39
3,3,16,0,26,787.2988888888889,3,0,34
1,6,7,3,25,144.50472222222223,1,0,53
1,10,20,0,34,581.0761111111111,1,0,41
1,4,50,23,7,91.67972222222222,8,0,41
3,3,15,0,14,27.537222222222223,3,0,63
1,4,12,4,9,20.501944444444444,3,0,22
2,4,15,0,10,27.415555555555557,3,0,63
3,4,15,0,11,27.30472222222222,3,0,63
2,4,16,0,10,26.928055555555556,3,0,63
2,4,15,0,10,26.8775,3,0,63
2,4,16,0,10,26.72888888888889,3,0,63
2,4,23,0,10,26.497777777777777,4,0,63
2,4,28,0,10,26.45388888888889,5,0,63
2,4,16,0,10,26.419722222222223,3,0,63
2,4,15,0,10,25.974166666666665,3,0,63
2,4,15,0,10,25.78611111111111,3,0,63
2,4,15,0,10,25.700277777777778,3,0,63
2,4,15,0,10,25.620833333333334,3,0,63
2,4,15,0,10,25.59111111111111,3,0,63
2,4,17,4,10,25.471944444444443,3,0,63
2,4,15,0,10,25.42388888888889,3,0,63
2,4,15,0,10,25.395,3,0,63
2,4,16,0,10,25.35472222222222,3,0,63
2,4,15,0,10,25.099444444444444,3,0,63
2,4,15,0,10,24.983055555555556,3,0,63
2,4,15,0,10,24.85611111111111,3,0,63
2,4,15,0,9,24.785,3,0,63
2,4,15,0,9,24.663611111111113,3,0,63
2,4,15,0,9,24.61277777777778,3,0,63
2,4,15,0,9,24.593611111111112,3,0,63
2,3,16,0,9,24.33861111111111,3,0,63
1,4,4,0,8,4.923333333333333,1,0,62
3,4,36,51,14,27.55361111111111,3,0,57
2,5,5,0,15,33.73916666666667,1,0,45
1,3,106,4,8,272.0808333333333,5,0,54
1,5,0,5,32,538.7936111111111,1,0,36
1,3,53,53,8,25.502777777777776,4,0,27
2,5,9,4,14,622.2311111111111,4,0,37
1,3,2,1,9,338.2005555555556,1,0,38
3,3,28,4,12,638.4177777777778,3,0,42
3,3,63,3,12,638.025,3,0,45
3,3,46,0,12,638.0238888888889,3,0,56
2,6,65,65,21,5608.260555555556,65,0,41
2,3,47,20,8,278.77166666666665,7,0,48
1,5,3,0,10,168.66055555555556,3,0,39
2,5,220,0,13,214.53444444444443,8,2,36
2,5,17,0,20,512.9236111111111,3,0,53
10,3,33,1,29,7034.228888888889,3,0,42
1,3,12,1,8,69.87777777777778,1,0,50
1,5,4,4,15,37.223055555555554,3,0,62
1,6,8,0,22,764.0852777777778,1,0,67
1,3,7,0,10,42.62388888888889,1,0,34
2,5,304,0,15,360.62666666666667,11,0,42
3,7,1,11,20,6795.3886111111115,2,1,53
1,3,12,3,9,19.809166666666666,2,0,45
17,4,38,65,46,6827.058888888889,7,1,22
1,5,30,6,9,115.2538888888889,3,0,35
1,3,19,3,9,225.96722222222223,3,0,69
5,5,106,63,19,104.19305555555556,5,0,27
5,6,70,29,51,6211.613333333334,3,1,36
4,4,82,0,22,266.00638888888886,3,0,46
1,3,1,1,8,6.010555555555555,1,0,45
1,3,17,0,8,20.41722222222222,3,0,61
1,3,1,1,9,24.036944444444444,1,0,45
1,3,1,1,8,23.43722222222222,1,0,45
1,4,11,1,11,212.82305555555556,1,0,48
1,4,75,47,16,481.6686111111111,2,0,48
3,3,84,47,18,1074.2972222222222,1,0,22
3,5,14,15,23,257.53055555555557,2,0,58
1,5,38,12,26,84.0575,2,0,53
1,6,3,3,12,115.64166666666667,1,0,65
1,4,62,21,8,50.06333333333333,3,0,41
1,4,127,2,7,184.68527777777777,4,0,41
1,4,1,1,12,30.213055555555556,1,0,21
2,4,20,13,10,55.99166666666667,1,0,33
1,4,13,17,16,133.68472222222223,5,0,52
3,5,10,2,25,2354.1825,2,2,40
1,4,1,1,7,20.439722222222223,1,0,49
1,5,3,3,20,1549.5869444444445,2,0,44
2,4,141,2,14,256.7763888888889,4,8,44
1,3,5,1,8,296.06666666666666,1,0,56
2,3,56,12,11,228.09277777777777,3,0,44
29,12,83,0,171,7616.123055555556,63,22,71
1,6,31,9,15,449.4663888888889,6,0,67
1,7,22,0,11,386.75555555555553,5,0,52
3,4,31,0,17,521.7841666666667,2,0,24
1,3,10,10,9,5400.4225,6,0,44
1,3,17,1,8,211.12694444444443,2,0,48
1,5,11,16,8,543.6863888888889,2,0,30
1,7,7,2,21,352.92527777777775,1,0,45
1,8,100,59,14,377.54833333333335,9,1,44
2,5,28,0,19,318.1461111111111,3,0,42
1,4,1,28,26,151.0561111111111,2,0,21
1,4,138,0,11,122.16472222222222,5,0,43
3,3,295,229,14,81.47722222222222,7,0,49
1,4,30,2,19,37.83888888888889,8,0,33
1,5,38,1,18,1333.5297222222223,4,0,25
1,3,12,6,9,28.913055555555555,5,0,58
1,4,1,1,10,28.86638888888889,1,0,41
1,4,4,0,11,50.727777777777774,2,0,21
1,3,41,15,9,8.835,5,0,21
1,3,10,5,12,9.588055555555556,1,0,59
1,4,264,201,12,32.10527777777778,198,0,31
1,4,7,0,18,31.2425,4,0,21
6,4,6,21,25,1167.3111111111111,2,0,44
1,4,3,0,12,12.738055555555556,1,0,23
1,3,1,0,8,10.637222222222222,1,0,21
3,5,261,0,13,131.44583333333333,9,1,25
1,4,0,2,10,17.394166666666667,2,0,47
3,6,5,0,15,334.8277777777778,2,0,48
4,8,76,7,31,333.26722222222224,3,6,55
1,3,2,2,23,77.82055555555556,1,0,29
1,3,74,144,9,67.95361111111112,37,0,56
1,4,11,1,10,8.69361111111111,2,0,44
1,3,1,1,8,4.8375,1,0,50
2,4,56,56,23,65.21694444444445,4,1,27
2,4,1,2,32,259.0855555555556,1,0,45
4,6,1,1,23,5491.049444444445,1,1,56
1,4,2,2,8,76.45472222222222,2,0,33
2,4,25,0,11,270.50194444444446,3,0,55
2,3,84,145,10,267.5447222222222,4,0,51
1,3,711,171,8,21.688055555555554,8,0,54
1,6,2,1,13,47.70916666666667,1,0,58
2,3,34,6,11,24.72833333333333,3,1,53
1,4,519,328,10,169.78472222222223,14,0,59
1,4,833,1282,10,118.44972222222222,67,0,30
1,2,2,0,7,4.4225,1,0,46
1,2,0,4204,12,36.08833333333333,130,0,45
1,2,86,34,6,8.466666666666667,10,0,43
1,6,2,0,12,32.33083333333333,1,0,43
1,4,1,0,9,19.03638888888889,1,0,36
2,7,267,7,23,365.1122222222222,11,1,66
1,4,15,3,13,15.932222222222222,2,0,48
1,3,6,2,6,17.616666666666667,2,0,53
7,7,12,12,37,4015.478888888889,1,0,32
1,4,7,10,8,13.327777777777778,1,0,37
1,3,12,11,8,19.51638888888889,4,0,56
2,4,1,3,15,105.6463888888889,1,0,28
1,3,20,8,8,114.78111111111112,2,0,65
1,3,52,52,8,17.34861111111111,4,0,27
1,3,115,61,7,4.306388888888889,7,0,38
2,4,17,52,10,71.00027777777778,2,0,49
1,3,42,38,12,52.47833333333333,2,0,50
