change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fpython-neutronclient~master~I0126609c076ee715b84d357b007ffbef6e0ebfe8,485884,https://review.opendev.org/485884,python-neutronclient,21:44.0,04:15.0,MERGED,Updated from global requirements,Updated from global requirements.1,5,3,4,4.1,1,0,14,32,82.70861111,['requirements.txt'],FALSE,[]
openstack%2Fheat~master~Ie4aad264b8a776a323dcfd1843357c5a7eac094e,468580,https://review.opendev.org/468580,heat,14:02.0,04:07.0,MERGED,Unit tests: Ensure StackDefinition is up to date,Unit tests: Ensure StackDefinition is up to date,20,4,85,18,6,0,53,48,1402.834722,"['heat/tests/aws/test_eip.py', 'heat/tests/aws/test_user.py', 'heat/tests/aws/test_waitcondition.py', 'heat/tests/openstack/cinder/test_volume_utils.py', 'heat/tests/openstack/neutron/test_neutron_floating_ip.py', 'heat/tests/test_stack.py']",FALSE,[]
openstack%2Fheat~master~I777309f310e18f8a16b5ae675419d7eeeffa09ee,468579,https://review.opendev.org/468579,heat,14:02.0,04:00.0,MERGED,Unit tests: make tests more realistic,Unit tests: make tests more realistic,20,4,49,57,3,0,53,37,1402.832778,"['heat/tests/aws/test_user.py', 'heat/tests/openstack/heat/test_instance_group.py', 'heat/tests/openstack/heat/test_restarter.py']",FALSE,[]
openstack%2Fheat~master~I21c63dcc8d1cad20dbc237b472670753779b0ff8,465760,https://review.opendev.org/465760,heat,12:02.0,03:11.0,MERGED,Check for circular dependencies in template validation,Check for circular dependencies in template validation,23,5,51,15,3,0,72,54,1619.8525,"['heat/engine/service.py', 'heat/engine/stack.py', 'heat/tests/test_validate.py']",FALSE,[]
openstack%2Fnova~master~I48c4706b3eb6e0a5105e463236870921d55dbd93,419975,https://review.opendev.org/419975,nova,59:09.0,01:01.0,MERGED,Implement interface attach/detach in ironic virt driver,WIP implement interface attach/detach in ironic virt driver,20,35,69,6,2,39,282,59,4605.031111,"['nova/virt/ironic/driver.py', 'releasenotes/notes/add-interface-attach-detach-support-in-ironic-cb2bf11f3875350a.yaml']",FALSE,[]
openstack%2Ftempest~master~Iade0a1afd0e28ea42f12df175f55eadb1bea7071,485510,https://review.opendev.org/485510,tempest,24:00.0,41:33.0,MERGED,Fix object storage bulk middleware client return value,Fix object storage bulk middleware client return value,3,7,97,27,5,5,23,54,97.2925,"['tempest/api/object_storage/test_account_bulk.py', 'tempest/services/object_storage/bulk_middleware_client.py', 'tempest/tests/lib/services/base.py', 'tempest/tests/lib/services/object_storage/__init__.py', 'tempest/tests/lib/services/object_storage/test_bulk_middleware_client.py']",FALSE,[]
openstack%2Fpuppet-openstack-integration~master~I57435187ff8995c3c5df26cc2ed3c0f5add627c3,484650,https://review.opendev.org/484650,puppet-openstack-integration,33:35.0,38:34.0,MERGED,Updated from Puppet OpenStack modules constraints,Updated from Puppet OpenStack modules constraints,6,3,1,1,1,0,21,49,147.0830556,['Puppetfile'],FALSE,[]
openstack%2Fmistral~master~I3f4a60908b78f628481e63d06cf6433dd3206a2e,483517,https://review.opendev.org/483517,mistral,19:30.0,38:29.0,MERGED,Cleanup docs to include params,Cleanup docs to include params,7,11,82,27,8,41,43,30,255.3163889,"['mistral/api/controllers/v2/action.py', 'mistral/api/controllers/v2/action_execution.py', 'mistral/api/controllers/v2/cron_trigger.py', 'mistral/api/controllers/v2/environment.py', 'mistral/api/controllers/v2/execution.py', 'mistral/api/controllers/v2/task.py', 'mistral/api/controllers/v2/workbook.py', 'mistral/api/controllers/v2/workflow.py']",FALSE,[]
openstack%2Ftempest~master~Ib9e909aaaf81f7cb57e2382cec44598e918747b8,484427,https://review.opendev.org/484427,tempest,40:55.0,30:29.0,MERGED,Migrate the preprov creds module to tempest lib,Migrate the preprov creds module to tempest lib,4,5,42,28,8,1,23,47,161.8261111,"['doc/source/library/credential_providers.rst', 'releasenotes/notes/migrate-preprov-creds-ef61a046ee1ec604.yaml', 'tempest/common/credentials_factory.py', 'tempest/common/fixed_network.py', 'tempest/exceptions.py', 'tempest/lib/common/preprov_creds.py', 'tempest/lib/exceptions.py', 'tempest/tests/lib/common/test_preprov_creds.py']",FALSE,[]
openstack%2Fpython-monascaclient~master~If2664b5054d668f5e088699ae1493c54692a2e8c,486015,https://review.opendev.org/486015,python-monascaclient,14:10.0,20:45.0,MERGED,Bringing back backward compatybility,[WIP] Bringing back backward compatybility,5,5,203,4,1,0,17,42,75.10972222,['monascaclient/client.py'],FALSE,[]
