change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fcharm-ceph-fs~master~I53017bdb31cc7cfbe9e11e0d856fbd065ba34563,791183,https://review.opendev.org/791183,charm-ceph-fs,08:12.0,20:10.0,MERGED,rebuild - restore c-h proxy env vars for add-apt-repository,rebuild - restore c-h proxy env vars for add-apt-repository,1,3,1,1,1,0,10,59,782.1994444,['rebuild'],FALSE,[]
openstack%2Fcharm-vault~master~Icc7c9f75b3dc83a706fa280f70d88343cd3bb9fc,791522,https://review.opendev.org/791522,charm-vault,08:36.0,18:18.0,MERGED,Handle when lb_provider is None,Handle when lb_provider is None,4,3,1,1,1,0,38,31,753.1616667,['src/reactive/vault_handlers.py'],FALSE,[]
openstack%2Fopenstack-ansible~master~If22b80235d352f6d561243aebf70c6af3bd08287,795665,https://review.opendev.org/795665,openstack-ansible,02:43.0,13:39.0,MERGED,[doc] Document CA generation upgrade step,[doc] Document CA generation upgrade step,2,3,21,0,1,0,10,41,128.1822222,['doc/source/admin/upgrades/major-upgrades.rst'],FALSE,[]
openstack%2Fopenstack-ansible~master~If2741e98971f444153f7e1a8e04816896fbb715b,795563,https://review.opendev.org/795563,openstack-ansible,44:01.0,13:34.0,MERGED,Fix upgrade jobs out of CI,Fix upgrade jobs out of CI,1,3,8,4,1,0,8,26,132.4925,['scripts/gate-check-commit.sh'],FALSE,[]
openstack%2Fcharm-manila~master~I79c54a17503f234ce5989405e0e0cb7f43fa5746,791198,https://review.opendev.org/791198,charm-manila,10:07.0,12:09.0,MERGED,rebuild - restore c-h proxy env vars for add-apt-repository,rebuild - restore c-h proxy env vars for add-apt-repository,1,3,1,1,1,0,10,59,782.0338889,['rebuild'],FALSE,[]
openstack%2Fcharm-swift-storage~master~I3deb0f519b9746d632c9c56b7a77fa5efb78fad0,791174,https://review.opendev.org/791174,charm-swift-storage,48:01.0,09:23.0,MERGED,c-h sync - restore proxy env vars for add-apt-repository,c-h sync - restore proxy env vars for add-apt-repository,1,3,45,21,6,0,13,56,782.3561111,"['charmhelpers/cli/__init__.py', 'charmhelpers/contrib/openstack/deferred_events.py', 'charmhelpers/contrib/openstack/utils.py', 'charmhelpers/core/hookenv.py', 'charmhelpers/core/services/base.py', 'charmhelpers/fetch/ubuntu.py']",FALSE,[]
openstack%2Fcharm-cinder~master~I115644f4c9bbc9b5b7501d85806e7419e5b8f0f6,791158,https://review.opendev.org/791158,charm-cinder,46:01.0,06:21.0,MERGED,c-h sync - restore proxy env vars for add-apt-repository,c-h sync - restore proxy env vars for add-apt-repository,1,3,45,21,6,0,13,56,782.3388889,"['charmhelpers/cli/__init__.py', 'charmhelpers/contrib/openstack/deferred_events.py', 'charmhelpers/contrib/openstack/utils.py', 'charmhelpers/core/hookenv.py', 'charmhelpers/core/services/base.py', 'charmhelpers/fetch/ubuntu.py']",FALSE,[]
openstack%2Fcharm-hacluster~master~Ib32258deceb445e307835269635cf1008d1a6cf9,791163,https://review.opendev.org/791163,charm-hacluster,46:40.0,05:53.0,MERGED,c-h sync - restore proxy env vars for add-apt-repository,c-h sync - restore proxy env vars for add-apt-repository,1,3,45,21,6,0,15,56,782.3202778,"['charmhelpers/cli/__init__.py', 'charmhelpers/contrib/openstack/deferred_events.py', 'charmhelpers/contrib/openstack/utils.py', 'charmhelpers/core/hookenv.py', 'charmhelpers/core/services/base.py', 'charmhelpers/fetch/ubuntu.py']",FALSE,[]
openstack%2Fcharm-swift-proxy~master~I5793f6e68058cddcb47b5cd588d4a5e3c0344ee0,791173,https://review.opendev.org/791173,charm-swift-proxy,47:54.0,05:45.0,MERGED,c-h sync - restore proxy env vars for add-apt-repository,c-h sync - restore proxy env vars for add-apt-repository,1,3,45,21,6,0,13,56,782.2975,"['charmhelpers/cli/__init__.py', 'charmhelpers/contrib/openstack/deferred_events.py', 'charmhelpers/contrib/openstack/utils.py', 'charmhelpers/core/hookenv.py', 'charmhelpers/core/services/base.py', 'charmhelpers/fetch/ubuntu.py']",FALSE,[]
openstack%2Fcharm-cinder-ceph~master~I0964a56a335d27213b8d2fa4f91b5b6c4f3c6e0c,791160,https://review.opendev.org/791160,charm-cinder-ceph,46:18.0,05:39.0,MERGED,c-h sync - restore proxy env vars for add-apt-repository,c-h sync - restore proxy env vars for add-apt-repository,1,3,45,21,6,0,13,56,782.3225,"['charmhelpers/cli/__init__.py', 'charmhelpers/contrib/openstack/deferred_events.py', 'charmhelpers/contrib/openstack/utils.py', 'charmhelpers/core/hookenv.py', 'charmhelpers/core/services/base.py', 'charmhelpers/fetch/ubuntu.py']",FALSE,[]
openstack%2Fcharm-neutron-gateway~master~Ie18e3958c90a19a8a1f5ce4cd01aac3f204965aa,791166,https://review.opendev.org/791166,charm-neutron-gateway,47:02.0,05:13.0,MERGED,c-h sync - restore proxy env vars for add-apt-repository,c-h sync - restore proxy env vars for add-apt-repository,1,3,45,21,6,0,13,56,782.3030556,"['hooks/charmhelpers/cli/__init__.py', 'hooks/charmhelpers/contrib/openstack/deferred_events.py', 'hooks/charmhelpers/contrib/openstack/utils.py', 'hooks/charmhelpers/core/hookenv.py', 'hooks/charmhelpers/core/services/base.py', 'hooks/charmhelpers/fetch/ubuntu.py']",FALSE,[]
openstack%2Fcharm-nova-cloud-controller~master~If2a07274d35622ae3b22022ea35ca74a1b76a9f4,791168,https://review.opendev.org/791168,charm-nova-cloud-controller,47:17.0,05:05.0,MERGED,c-h sync - restore proxy env vars for add-apt-repository,c-h sync - restore proxy env vars for add-apt-repository,1,3,45,21,6,0,12,56,782.2966667,"['charmhelpers/cli/__init__.py', 'charmhelpers/contrib/openstack/deferred_events.py', 'charmhelpers/contrib/openstack/utils.py', 'charmhelpers/core/hookenv.py', 'charmhelpers/core/services/base.py', 'charmhelpers/fetch/ubuntu.py']",FALSE,[]
